userid,college,status
msherbourne10,SUNY College of Environmental Science and Forestry,withdrawn
cpidgeleyq3,New York University,withdrawn
lpretswelldz,Manhattan College,withdrawn
pmaharey12,"University of Nevada, Reno",waitlisted
dmechemb1,Wagner College,waitlisted
cguidotti1y,University of Hartford,pending
dgallicom2,University of Illinois at Chicago,withdrawn
bseilmannda,University of Kentucky,deferred
hhillbornef9,Siena College,withdrawn
jbrixey5,"California State University, Fresno",deferred
cgiddy3j,Iona College,denied
rpoldingeh,Drexel University,accepted
mmcgaughayck,Mercer University,pending
hvigergh,Kennesaw State University,withdrawn
kfloyd4u,University of Houston,withdrawn
dlouther5,Rider University,deferred
loreilly2m,Nova Southeastern University,withdrawn
priep19,"California State University, Fresno",pending
kbraddick5p,Saint Louis University,pending
stoffts7q,Eastern Illinois University,pending
rbyrehi,Colgate University,deferred
gmulvihillhr,Mount Holyoke College,deferred
ahamflett9u,William Jewell College,withdrawn
mticksallar,Hope College,accepted
smarriagedx,The College of Wooster,accepted
cprescotha,Central Connecticut State University,pending
nraglesa2,Central Connecticut State University,deferred
mmaccaughen1z,Illinois College,accepted
gohagan9b,Salve Regina University,denied
cmosconkq,University of Houston,deferred
prooze11,Saint Louis University,pending
bshowers4,Mississippi State University,accepted
fdulinty4e,Florida Gulf Coast University,withdrawn
amacclenanmu,Transylvania University,accepted
cdumbell68,Northwestern University,denied
jpantonecu,Roger Williams University,waitlisted
phammersley1w,Idaho State University,waitlisted
doxmw,Manhattan College,waitlisted
mcellone7g,Illinois College,withdrawn
gkeggins9g,Utah State University,deferred
tjeaffresonmc,"University of California, Davis",withdrawn
lmckernonrq,Franklin & Marshall College,waitlisted
tchastan7o,North Park University,accepted
slabastida1,Siena College,deferred
smeadusg,New Jersey Institute of Technology,waitlisted
gsillsd9,Salve Regina University,denied
bsibbeg7,School of the Art Institute of Chicago,withdrawn
efarraway8x,Idaho State University,pending
pduns5y,DePauw University,accepted
kfilippazzo8c,SUNY College of Environmental Science and Forestry,withdrawn
grubinowitsch9t,Nova Southeastern University,waitlisted
ksalliern9,University of Maine,waitlisted
bswale7e,The College of St Scholastica,withdrawn
lsutherelt,Hope College,withdrawn
garrellqi,William Jewell College,accepted
llutonjp,The College of St Scholastica,pending
lkomorowskigm,Florida Gulf Coast University,waitlisted
cerasmus4i,Nova Southeastern University,withdrawn
wchamah,Nova Southeastern University,withdrawn
wtitmuss2w,Clarkson University,deferred
kgentilgx,University of Montana,accepted
adarkec5,Manhattan College,waitlisted
bpritchittme,Stevenson University,denied
sbeinbz,University of Houston,deferred
iankerii,William Jewell College,pending
garrellqi,Centre College,withdrawn
hraschcw,Centre College,withdrawn
dshrawley72,Centre College,pending
geady2c,University of Delaware,denied
gbrocktonid,Vassar College,deferred
kseagek9,Westmont College,withdrawn
cpierson4q,San Diego State University,pending
rromaintog,University of Delaware,accepted
hfayerbrotherrg,San Diego State University,pending
cerasmus4i,The College of St Scholastica,denied
gshambroke38,Lawrence Technological University,accepted
cfennelowb,Colorado College,waitlisted
ohrinchishine6,New Jersey Institute of Technology,pending
bseppeyg8,Westmont College,waitlisted
ldrableex,Manhattan College,accepted
cerasmus4i,Saint Louis University,withdrawn
jdavleygi,Florida Gulf Coast University,deferred
atunnicliffehc,University of Montana,withdrawn
chowcroft8d,University of San Diego,denied
kmaryanap,Colorado College,pending
adavidoviczqj,Rice University,withdrawn
sshawag,Eastern Illinois University,deferred
apachecojl,John Carroll University,denied
smeadusg,Transylvania University,pending
rmabbf7,Idaho State University,denied
klassells8s,University of Delaware,waitlisted
bludlow2o,Gettysburg College,denied
bsibbeg7,Berry College,denied
cholbykx,William Jewell College,waitlisted
abasscf,Texas Christian University,withdrawn
gstobbartm5,Mississippi State University,denied
jcolquyte49,Transylvania University,deferred
mroseborougho4,University of Maine,waitlisted
ndescoffierji,DePaul University,withdrawn
sdifranceshci3r,Northwestern University,pending
ndescoffierji,Central Connecticut State University,waitlisted
cgiddy3j,Clarkson University,deferred
apicardam,Transylvania University,withdrawn
bborless9m,Vassar College,accepted
ebulgen94,DePaul University,waitlisted
dshilvock9v,University of Central Florida,withdrawn
kdyte4t,Indiana University Bloomington,withdrawn
hsmethurst93,North Park University,withdrawn
gralton9,Nova Southeastern University,denied
noverington8z,Indiana University Bloomington,deferred
agillesonm1,Campbell University,deferred
ahuriche4v,Mississippi State University,denied
dvockings4d,American University,withdrawn
psheptones,Indiana University Bloomington,denied
rlarkworthyo6,Colgate University,withdrawn
ltrippiy,Rochester Institute of Technology,deferred
mgolthorppc,Nova Southeastern University,denied
spenk2e,Hendrix College,waitlisted
cleall7h,John Carroll University,accepted
bjanssonn1,University of Richmond,pending
sstatter7k,University of Alabama,deferred
tornilsls,Kennesaw State University,pending
kstorey99,University of Alabama at Birmingham,deferred
awoodalld0,Northwestern University,accepted
hwakeford40,"University of California, Santa Barbara",deferred
nelstuba,Utah State University,deferred
eroufbp,"University of Nevada, Las Vegas",withdrawn
jkoeppke6g,SUNY College of Environmental Science and Forestry,waitlisted
kdigiorgiojz,University of Utah,deferred
sneediu,Iona College,waitlisted
mgregg5t,University of Central Florida,withdrawn
jvankovl1,DePauw University,waitlisted
nhawtinln,Missouri University of Science and Technology,deferred
slongwoodbg,DePauw University,accepted
atitchmarshdk,Vassar College,denied
adarkec5,Salve Regina University,accepted
dlouther5,Hendrix College,deferred
zroelofsenkd,Saint Louis University,withdrawn
dhaconbq,St Bonaventure University,withdrawn
mdyetip,Drexel University,waitlisted
vrolin71,SUNY College of Environmental Science and Forestry,withdrawn
dvockings4d,Centre College,deferred
mreadwinglh,Kennesaw State University,waitlisted
bswale7e,Providence College,accepted
bpinnion5u,"California State University, East Bay",pending
hbrittonerbv,Indiana University Bloomington,pending
mduvalqv,American University,withdrawn
mlorneff,Providence College,waitlisted
vjilesqg,Centre College,pending
cbrigdalegt,Merrimack College,waitlisted
chamshawe2,Williams College,waitlisted
varrelldh,William Jewell College,withdrawn
tbreakwellh6,American University,waitlisted
bwitardiz,Princeton University,withdrawn
anisenf6,Moravian College,denied
msharpousee,University of Kentucky,withdrawn
sratcliffe1b,Texas Christian University,waitlisted
marrbt,American University,waitlisted
mduvalqv,DePauw University,withdrawn
nmish7p,"University of Nevada, Las Vegas",deferred
kbesson5z,Campbell University,accepted
pcochhf,SUNY College of Environmental Science and Forestry,denied
wstannasmz,New Jersey Institute of Technology,pending
ltolworthie7w,Temple University,denied
kmcalpin4x,Franklin & Marshall College,waitlisted
ldracksfordlg,"University of California, Davis",withdrawn
ldrysdellhl,Stevenson University,waitlisted
bpedrielli6n,DePauw University,deferred
etrunbyf,Salve Regina University,denied
dboulsherc2,Roger Williams University,deferred
zdissr6,Colorado College,accepted
cplastown2,Berry College,accepted
rdodsworthdr,Eastern Washington University,waitlisted
seaggerjn,Clarkson University,waitlisted
nbiddlecombelj,The College of St Scholastica,deferred
gdanaharh4,Stevenson University,withdrawn
lfairhamkv,Colorado College,pending
ebilesd3,University of Montana,withdrawn
snorthcoted5,University of San Diego,accepted
bpinnion5u,Providence College,denied
speskinfy,Nova Southeastern University,accepted
dmacalindeng1,University of Hartford,accepted
naldiecr,"University of Nevada, Las Vegas",deferred
cleall7h,Illinois College,deferred
cprescotha,Saint Louis University,pending
tkiefer6c,New Jersey Institute of Technology,deferred
kphilliskirkrl,Hendrix College,pending
msudlow55,University of Alabama at Birmingham,withdrawn
gscarffox,"California State University, East Bay",denied
alukesch87,"California State University, East Bay",accepted
avanderbaaren3x,Utah State University,pending
fyushkinol,Vassar College,pending
hwortmanno,Illinois College,withdrawn
lower9a,SUNY College of Environmental Science and Forestry,deferred
tdarthe50,University of Montana,withdrawn
cjermyc0,American University,denied
cneighbour1u,Princeton University,denied
sdifranceshci3r,Illinois College,waitlisted
jpattenep,Colorado College,withdrawn
lantonowiczrb,Gannon University,denied
ffrance86,Manhattan College,pending
tdarthe50,Illinois College,accepted
aharrismithra,Rice University,denied
horumfe,University of Arkansas,accepted
tswannie1o,Suffolk University,waitlisted
bgunderson47,Mississippi State University,pending
nlendremob,St Bonaventure University,waitlisted
cdrinankk,Hope College,accepted
collett4m,Suffolk University,accepted
ccorrettan,"University of California, Davis",waitlisted
tfantiniay,"University of California, Davis",denied
glunamfk,Iona College,pending
pmaharey12,Rider University,withdrawn
cloffill7z,Providence College,accepted
fgateleyc9,Colgate University,accepted
dduffreekr,Mississippi State University,deferred
glunamfk,University of Arkansas,withdrawn
blevet8j,Carnegie Mellon University,accepted
nspleving8b,St Bonaventure University,deferred
bcarlettqk,Colgate University,pending
aleonardi9e,Eastern Illinois University,waitlisted
trettiema,University of Houston,pending
bnesterovil,SUNY College of Environmental Science and Forestry,pending
sminguetkf,Berry College,denied
bmetterickfg,Fordham University,accepted
smcnamee4k,University of Montana,accepted
afilippovn6,Saint Louis University,accepted
snorthcoted5,Centre College,denied
rdraijerd4,Gettysburg College,waitlisted
jlarkingsnf,Kennesaw State University,pending
ajaquiss6a,Berry College,pending
jrotham7b,Berry College,deferred
rloftier2,"California State University, East Bay",deferred
pduns5y,Merrimack College,waitlisted
rbrowell4z,Reed College,denied
vdaughtreyph,Franklin & Marshall College,waitlisted
smuncaster58,Gannon University,waitlisted
geady2c,Eastern Illinois University,accepted
lallot3,Carnegie Mellon University,pending
pcochhf,Texas Christian University,waitlisted
febblesk4,"University of Nevada, Las Vegas",pending
mknevetpb,University of Montana,accepted
smuncaster58,University of Illinois at Chicago,denied
cminihanpi,Clarkson University,withdrawn
mnormavilleos,Suffolk University,pending
rcoshamk6,Rice University,denied
dtunnacliffenc,Central Connecticut State University,waitlisted
gdanaharh4,Lawrence Technological University,waitlisted
pchevolleau5m,Hendrix College,deferred
bhastygo,DePauw University,pending
kcotter2z,Colorado College,pending
fyushkinol,Eastern Washington University,deferred
rlarkworthyo6,University of Montana,deferred
kpetraitisko,DePauw University,waitlisted
khickenbottomcn,New Jersey Institute of Technology,deferred
mriddalldf,John Carroll University,waitlisted
dyessonfr,Indiana University Bloomington,withdrawn
alauder45,Smith College,accepted
bdomenyhm,Berry College,waitlisted
jschneidar3z,School of the Art Institute of Chicago,pending
ccreminge,Drake University,denied
zdissr6,Saint Louis University,withdrawn
chowcroft8d,Suffolk University,waitlisted
hedes1j,St Bonaventure University,denied
tkiebes1p,Drexel University,pending
rfenbyg6,The College of St Scholastica,accepted
kcogginau,DePauw University,withdrawn
apurkessqe,SUNY College of Environmental Science and Forestry,deferred
rlangrishg3,Mercer University,accepted
hfraczkiewiczo5,Eastern Washington University,accepted
lantonowiczrb,Temple University,waitlisted
ekelingpa,Campbell University,pending
jbaggedq,Massachusetts Institute of Technology,deferred
rhandscombedj,St Bonaventure University,accepted
uhavikb8,University of Arkansas,accepted
bdresserk3,Samford University,deferred
abreedb4,Nova Southeastern University,waitlisted
cwardhawn0,Centre College,withdrawn
lsuttie4w,School of the Art Institute of Chicago,pending
kstoyellok,American University,deferred
lsouthby3l,Franklin & Marshall College,waitlisted
cbeggini59,Drake University,deferred
mlingke,Lawrence Technological University,denied
slabonqa,Texas Christian University,denied
pphython1e,Nova Southeastern University,denied
bcroughan34,Franklin & Marshall College,pending
iosbornep,Illinois College,withdrawn
mreadwinglh,Rider University,denied
hwortmanno,Smith College,withdrawn
leatonaf,Gettysburg College,waitlisted
kseagek9,Gordon College,accepted
cthelwllj3,Rochester Institute of Technology,waitlisted
lovittspc,University of Massachusetts Amherst,pending
jvarney4n,Westmont College,deferred
cbruna90,Colorado College,withdrawn
lbagem,Westmont College,waitlisted
lsuttie4w,Clarkson University,pending
bjanssonn1,Merrimack College,pending
gdundendale32,Mercer University,denied
uoxfordei,Providence College,denied
tbruckmanh7,University of Central Florida,waitlisted
dgebuhreu,Missouri University of Science and Technology,waitlisted
pgrelikaa,University of Alabama at Birmingham,deferred
fpolglazecm,John Carroll University,waitlisted
ldrysdellhl,Kalamazoo College,accepted
dvockings4d,DePaul University,withdrawn
arembrandtnd,Drake University,accepted
btarpeyqu,"California State University, Monterey Bay",accepted
rpreatore5,University of Arizona,withdrawn
sdeenyin,Northwestern University,withdrawn
bgunderson47,Roger Williams University,deferred
rraynerb9,Drake University,denied
fwestbrook5l,Moravian College,pending
isymesjq,University of Massachusetts Amherst,pending
pvaneedene7,University of Alabama at Birmingham,denied
mdroogan6l,North Park University,accepted
edavydychev92,SUNY College of Environmental Science and Forestry,waitlisted
cdinwoodiee3,Rochester Institute of Technology,denied
bzimmeri4,Franklin & Marshall College,pending
mcarlettil0,Texas Christian University,withdrawn
tchastan7o,Centre College,denied
sribeygw,Moravian College,accepted
mduvalqv,Suffolk University,denied
sdeenyin,University of Houston,pending
nboulsherqo,Utah State University,denied
diczokvitzdy,University of Delaware,withdrawn
kfreakj4,Siena College,withdrawn
olabdon2k,"California State University, Fresno",denied
pjester,Wagner College,deferred
sspringhampz,St Bonaventure University,withdrawn
srankling6i,University of Arizona,denied
gbuttlerf0,University of Utah,pending
mwinsper14,American University,pending
eroufbp,Kalamazoo College,pending
tkemmisz,Smith College,accepted
bpedrielli6n,Hendrix College,accepted
mborkett6w,"University of Nevada, Las Vegas",accepted
aglanert4s,"University of California, Davis",deferred
bbosse7t,Mount Holyoke College,withdrawn
rromaintog,"University of Nevada, Las Vegas",pending
gcroncheyie,Williams College,deferred
bbute3u,Suffolk University,pending
bpinnion5u,University of Houston,withdrawn
emedddm,Drake University,waitlisted
llossman4o,Hendrix College,accepted
pgotch3v,University of Alabama at Birmingham,denied
agurtonqm,Roger Williams University,accepted
mshellard5j,Clarkson University,deferred
csidnell23,Vassar College,deferred
graith3p,School of the Art Institute of Chicago,accepted
mderuelom,Westmont College,denied
pfarensp0,Transylvania University,waitlisted
rhamlyg9,Kalamazoo College,waitlisted
tmurpheyhq,"University of California, Santa Cruz",waitlisted
afader95,University of Kentucky,waitlisted
apaskinsro,Utah State University,accepted
jdelacosteg4,Reed College,accepted
gsidebothamcp,"University of California, Davis",withdrawn
bludlow2o,Gordon College,withdrawn
rtowsdi,Idaho State University,accepted
tchastan7o,University of Massachusetts Amherst,accepted
jpantonecu,University of Maine,withdrawn
nlucchij7,Hope College,denied
cneligank5,Hendrix College,accepted
graith3p,Iona College,denied
kfloyd4u,Stevenson University,denied
esellerkh,Utah State University,waitlisted
jcharlwoodao,Roger Williams University,deferred
sturley3y,Rochester Institute of Technology,denied
rbrucen5,Hope College,pending
kmullalynn,Samford University,waitlisted
jorgen5s,University of Utah,withdrawn
sduffreea6,The College of Wooster,denied
chowcroft8d,"University of Nevada, Reno",deferred
hslaghtga,"University of Nevada, Reno",denied
afranktonb3,Transylvania University,accepted
amorsonmr,University of Alabama,deferred
rdodsworthdr,University of Hartford,accepted
klassells8s,Gordon College,deferred
bgunderson47,Illinois College,withdrawn
lcampor0,"California State University, East Bay",withdrawn
erudderhamn3,University of Illinois at Chicago,accepted
lantognellimb,Mississippi State University,withdrawn
xbrum3g,Manhattan College,waitlisted
zmarchent1d,Mount Holyoke College,deferred
bkinnerleyr1,Clarkson University,pending
ktrineman9q,Providence College,withdrawn
pmaharey12,Roger Williams University,accepted
knurse21,Barnard College,pending
pbonasm8,Utah State University,waitlisted
dmacalindeng1,Massachusetts Institute of Technology,denied
hdenisyevle,Siena College,deferred
fsachnoiw,University of Illinois at Chicago,waitlisted
lfardellh0,Reed College,pending
rabdeya7,Suffolk University,waitlisted
stoffts7q,Mississippi State University,accepted
cpardalop,Mississippi State University,withdrawn
labbetshh,Texas Christian University,waitlisted
mdoiley1m,Mount Holyoke College,withdrawn
jvarney4n,University of Arizona,accepted
sminguetkf,Merrimack College,pending
cprisen4,Providence College,waitlisted
jdesbrowlb,New Jersey Institute of Technology,waitlisted
acarpenter8n,San Diego State University,denied
elaurentygk,Westmont College,denied
cmunceybb,"California State University, Monterey Bay",deferred
ftrott27,University of Hartford,withdrawn
caymeri3,University of Arkansas,waitlisted
pduns5y,University of Illinois at Chicago,deferred
caymeri3,"University of California, Santa Cruz",deferred
ljanjusevico8,University of Houston,pending
qpowdrilllk,New Jersey Institute of Technology,pending
cminihanpi,University of Utah,waitlisted
mkrebso2,Siena College,denied
jtipler3k,Smith College,waitlisted
acornew1h,Eastern Illinois University,deferred
tlacasepm,Indiana University Bloomington,denied
rduggary98,Gettysburg College,pending
gfrottonih,New Jersey Institute of Technology,waitlisted
bhopferev,University of Montana,accepted
bshowers4,Franklin & Marshall College,waitlisted
ogillamoa,Roger Williams University,accepted
cgodlipnz,"University of Nevada, Las Vegas",accepted
bseppeyg8,New York University,pending
asollarsea,Drake University,withdrawn
eitzcovichchc6,Northwestern University,withdrawn
gfigliovannil3,Nova Southeastern University,denied
lcarlesso1g,Saint Louis University,accepted
kgianettinipt,The College of St Scholastica,waitlisted
acarnowm6,Missouri University of Science and Technology,withdrawn
efarraway8x,Lawrence Technological University,deferred
hclowsleyqs,Clarkson University,deferred
gconiamce,Drexel University,deferred
menrigoe8,Carnegie Mellon University,waitlisted
ebirks89,University of Illinois at Chicago,waitlisted
hpattesall2i,Massachusetts Institute of Technology,pending
garrellqi,Utah State University,waitlisted
jpantonecu,University of Arizona,accepted
estorer6j,"University of Nevada, Las Vegas",denied
gledingtonhy,Massachusetts Institute of Technology,pending
oroskrug83,Lawrence Technological University,waitlisted
fdillestonmg,Illinois College,accepted
tgaroghanon,DePaul University,deferred
dhuncootmx,Princeton University,accepted
kseagek9,St Bonaventure University,denied
tswannie1o,Moravian College,withdrawn
febblesk4,"California State University, East Bay",accepted
bswale7e,Gannon University,accepted
snys9c,Fordham University,withdrawn
cfeatherbieks,Suffolk University,withdrawn
agurtonqm,American University,denied
pridsdoleh1,University of Alabama at Birmingham,denied
sribeygw,University of Hartford,deferred
srankling6i,Campbell University,waitlisted
chowcroft8d,University of Central Florida,denied
charbinis,Berry College,waitlisted
gbuttlerf0,"University of California, Santa Barbara",pending
mprimett25,Mississippi State University,waitlisted
grhydderchjc,Florida Gulf Coast University,deferred
imarchington8u,Missouri University of Science and Technology,waitlisted
kstoyellok,Centre College,denied
hbrittonerbv,Centre College,deferred
lsouthby3l,University of Massachusetts Amherst,accepted
ldrableex,Rider University,deferred
loreilly2m,Nova Southeastern University,deferred
cdinwoodiee3,University of Arkansas,waitlisted
bfiremanjm,Texas Tech University,waitlisted
aleonardi9e,Mississippi State University,withdrawn
rhamlyg9,New Jersey Institute of Technology,denied
dfollet51,Carnegie Mellon University,deferred
apail97,Central Connecticut State University,withdrawn
jmacklambf,Lawrence Technological University,accepted
gmundowl9,Transylvania University,waitlisted
cleall7h,Smith College,denied
bgrottynv,Wagner College,deferred
kcookleygp,Gannon University,accepted
mrenakly,Kalamazoo College,accepted
bscrivener5w,Clarkson University,accepted
wgiabucci2v,Washington & Jefferson College,waitlisted
crichenspq,Hope College,waitlisted
khynsondb,"California State University, Fresno",deferred
phammersley1w,John Carroll University,denied
cfewp4,St Bonaventure University,accepted
mgrebnerpp,Gannon University,pending
loguzi2,Kalamazoo College,deferred
hfraczkiewiczo5,University of Massachusetts Amherst,pending
mtremlettad,Vassar College,deferred
amccarlot,"University of California, Santa Cruz",deferred
zdissr6,Indiana University Bloomington,pending
mvint7y,Providence College,accepted
egaskarth9y,American University,denied
lallot3,University of Arizona,pending
alowndsbroughfi,Nova Southeastern University,waitlisted
sstatter7k,Kennesaw State University,withdrawn
kcowperjo,Texas Tech University,waitlisted
chrinchishincj,Eastern Illinois University,pending
kphilliskirkrl,Colorado College,withdrawn
jfilippozzidv,Reed College,accepted
kkolyaginmk,Colorado College,accepted
fgateleyc9,University of Massachusetts Amherst,denied
lgiddensey,North Park University,pending
mallchornde,Colorado College,denied
jpantonecu,Central Connecticut State University,pending
kvolkers33,Hendrix College,denied
rtombleson4l,University of Arizona,withdrawn
bkoppked1,Suffolk University,deferred
arembrandtnd,Wagner College,waitlisted
flightbourn70,Reed College,accepted
abesseq,Merrimack College,accepted
pphython1e,DePaul University,denied
anittom9,DePauw University,denied
rbrowell4z,University of Illinois at Chicago,waitlisted
etamblingbk,Washington & Jefferson College,withdrawn
tfeltennp,Mount Holyoke College,deferred
tmurpheyhq,Illinois College,accepted
rannellct,New Jersey Institute of Technology,waitlisted
fbellochc3,University of Arizona,waitlisted
cbellinooo,DePauw University,denied
bneubiginfb,SUNY College of Environmental Science and Forestry,withdrawn
acutressix,Hope College,denied
jyelding2n,Illinois College,waitlisted
gmedewaylx,Suffolk University,denied
mjentzsch4h,Barnard College,denied
padin65,Kalamazoo College,pending
dmitchleyow,Gettysburg College,withdrawn
adanelutti5b,Colgate University,waitlisted
nspleving8b,School of the Art Institute of Chicago,denied
ltrippiy,Moravian College,deferred
mswanjr,Mercer University,accepted
kstoyellok,American University,withdrawn
ahadigatejg,Hendrix College,deferred
rloftinf1,Mercer University,denied
apail97,St Bonaventure University,deferred
ttanseyd,Colorado College,waitlisted
abreedb4,University of Central Florida,waitlisted
jstobartq2,Drexel University,waitlisted
cjermyc0,Nova Southeastern University,pending
gralton9,The College of St Scholastica,denied
pduns5y,Texas Tech University,denied
eaviss2p,Gordon College,waitlisted
mwinsper14,University of Alabama at Birmingham,withdrawn
smcnamee4k,Salve Regina University,pending
loreilly2m,Fordham University,accepted
ejosephsenpg,Westmont College,pending
swylemangd,New Jersey Institute of Technology,pending
seaggerjn,SUNY College of Environmental Science and Forestry,withdrawn
kcowperjo,Centre College,accepted
ahadigatejg,Colgate University,denied
tgaroghanon,Providence College,denied
kantognonibr,Eastern Illinois University,withdrawn
tculshewh9,Manhattan College,pending
dbabinski6k,"California State University, Monterey Bay",waitlisted
nmish7p,"University of California, Davis",deferred
acornew1h,Manhattan College,deferred
cmackeeg2l,Franklin & Marshall College,pending
ncasterotbe,The College of Wooster,withdrawn
dshrawley72,St Bonaventure University,deferred
rmabbf7,SUNY College of Environmental Science and Forestry,accepted
tdarthe50,School of the Art Institute of Chicago,waitlisted
cmarfe3a,Suffolk University,denied
vrolin71,New Jersey Institute of Technology,denied
klassells8s,Colgate University,pending
lharriskinek1,Kalamazoo College,denied
mritmeier88,DePauw University,withdrawn
gjentinjy,William Jewell College,pending
chowcroft8d,The College of Wooster,denied
kdyte4t,Providence College,denied
padin65,University of Montana,denied
arembrandtnd,University of Massachusetts Amherst,pending
kseagek9,Westmont College,waitlisted
bparrishlq,University of Montana,denied
cfennelowb,Fordham University,deferred
eplowelldd,Centre College,denied
bswale7e,"California State University, East Bay",accepted
tnewcomelp,Manhattan College,accepted
fwestbrook5l,Northwestern University,withdrawn
rsheilds56,DePaul University,waitlisted
evellden69,Central Connecticut State University,deferred
eroufbp,Utah State University,pending
ebilesd3,St Bonaventure University,withdrawn
rpoldingeh,The College of St Scholastica,withdrawn
jgasonkj,University of Alabama,accepted
sjiruchre,Utah State University,deferred
fdillestonmg,University of Massachusetts Amherst,pending
wgiabucci2v,University of Utah,pending
agrzeszczykfw,Princeton University,denied
eclynmanov,DePauw University,deferred
onorval96,Central Connecticut State University,accepted
rabdeya7,Texas Christian University,waitlisted
varrelldh,University of Maine,withdrawn
bgoschalkhn,Franklin & Marshall College,denied
tlacasepm,Massachusetts Institute of Technology,accepted
eaviss2p,"University of California, Davis",waitlisted
pmaharey12,Hendrix College,denied
cprescotha,Central Connecticut State University,withdrawn
cmacbane6,DePaul University,waitlisted
smeadusg,Transylvania University,denied
gdonnersberggc,"University of Nevada, Reno",denied
aspehrq4,Stony Brook University,accepted
nivanyushkinnr,Siena College,accepted
fgateleyc9,Indiana University Bloomington,accepted
cbruna90,The College of Wooster,pending
lmcilhatton9z,Clarkson University,waitlisted
mritmeier88,Suffolk University,pending
slanfranchi1n,University of Alabama,withdrawn
kkroutmm,Transylvania University,deferred
cjouannotla,Smith College,accepted
ccorrettan,Rochester Institute of Technology,deferred
jgasonkj,San Diego State University,pending
mmonaghan8,"University of Nevada, Las Vegas",withdrawn
wtrapp5o,Siena College,pending
cbrigdalegt,Rochester Institute of Technology,denied
wchamah,Saint Louis University,pending
khodgin3e,"University of California, Davis",waitlisted
jbaggedq,Washington & Jefferson College,pending
pweeksho,"University of Nevada, Las Vegas",accepted
acornew1h,Kennesaw State University,waitlisted
wstallworthy15,Missouri University of Science and Technology,accepted
mgert6h,University of Richmond,denied
vashbrookb5,Barnard College,deferred
gparelloe,Rice University,pending
