userid,college,status
fkeightley8h,Centre College,pending
hkitchingnm,"California State University, Fresno",accepted
mritmeier88,Drake University,denied
bludlow2o,University of Massachusetts Amherst,withdrawn
cfewp4,Clarkson University,waitlisted
arembrandtnd,New York University,denied
nivanyushkinnr,Kennesaw State University,waitlisted
omallatratt7d,University of Richmond,waitlisted
afader95,"California State University, Fresno",accepted
warbuckel0,Gettysburg College,denied
dnuschke8g,San Diego State University,denied
lower9a,Iona College,deferred
cmunceybb,"University of California, Santa Cruz",denied
qpowdrilllk,Massachusetts Institute of Technology,waitlisted
dduffreekr,Colgate University,pending
ntosspellig,Saint Louis University,waitlisted
asotworthpe,Drake University,accepted
ogillamoa,William Jewell College,accepted
diczokvitzdy,Eastern Illinois University,deferred
cisaacsondc,Berry College,deferred
mschechter6b,Kennesaw State University,accepted
cleblond7i,Hope College,pending
vdaughtreyph,"University of California, Santa Barbara",waitlisted
cbaalhamj2,New Jersey Institute of Technology,waitlisted
varrelldh,University of Alabama,waitlisted
lallot3,Kalamazoo College,pending
ebulgen94,Providence College,waitlisted
tkemmisz,"University of Nevada, Reno",pending
gfishburnjf,Rider University,waitlisted
atottieq7,University of Central Florida,pending
cminihanpi,Illinois College,deferred
ahallwellp6,Gettysburg College,deferred
wtitmuss2w,Reed College,waitlisted
hteschecy,Utah State University,pending
mgresswellat,University of Kentucky,deferred
bshowers4,Drake University,waitlisted
chollingdalen8,St Bonaventure University,pending
mdoiley1m,Gannon University,waitlisted
gkeeltagh5q,Nova Southeastern University,withdrawn
bsabate66,Mississippi State University,withdrawn
hhillbornef9,Smith College,waitlisted
alivettpu,Transylvania University,accepted
cprescotha,University of Hartford,waitlisted
srochewellir,"California State University, Fresno",denied
bharfoot82,University of Arkansas,denied
wglynnebs,University of Massachusetts Amherst,withdrawn
rcroney20,Fordham University,pending
akerwickjv,Roger Williams University,denied
jvarney4n,Gettysburg College,pending
kpetraitisko,Nova Southeastern University,denied
hfavelleoq,William Jewell College,waitlisted
cgernerny,Texas Tech University,deferred
fpirouet9j,University of Richmond,accepted
rtolhurst3q,Williams College,pending
dhugkmi,Princeton University,deferred
spenk2e,St Bonaventure University,waitlisted
vcovottikp,Providence College,withdrawn
mtozerdt,John Carroll University,withdrawn
cdurgan2y,DePaul University,deferred
grayerax,Mount Holyoke College,accepted
bbosse7t,"University of Nevada, Reno",denied
bfreddirk,Reed College,deferred
gralton9,Eastern Illinois University,pending
crubinovitchhz,The College of St Scholastica,waitlisted
soleahy8q,Indiana University Bloomington,pending
jkoeppke6g,University of Alabama at Birmingham,denied
gcorbin8t,Smith College,accepted
bludlow2o,University of Richmond,accepted
dduffreekr,Barnard College,waitlisted
mcellone7g,Central Connecticut State University,accepted
dgimenezje,Central Connecticut State University,waitlisted
wbosketfh,The College of St Scholastica,pending
rnelane7c,University of Alabama,deferred
dgoringj8,Barnard College,waitlisted
rlarkworthyo6,Eastern Washington University,withdrawn
rsheilds56,Centre College,withdrawn
tkleiser6p,University of Central Florida,deferred
swylemangd,University of Kentucky,deferred
jthainj,The College of St Scholastica,denied
hfayerbrotherrg,University of Delaware,accepted
jcheavinlo,Mount Holyoke College,denied
jromeo6y,Mercer University,deferred
kmullalynn,Rider University,pending
uhavikb8,Transylvania University,deferred
llowth7l,Wagner College,deferred
snys9c,New Jersey Institute of Technology,pending
mnansom5v,The College of Wooster,waitlisted
lsutherelt,"California State University, Monterey Bay",accepted
gohagan9b,Samford University,pending
msherbourne10,Nova Southeastern University,accepted
slapsley2a,Salve Regina University,accepted
jschneidar3z,Campbell University,waitlisted
kgianettinipt,University of Richmond,deferred
edatono9,Lawrence Technological University,waitlisted
ljanjusevico8,Providence College,withdrawn
zdissr6,Manhattan College,withdrawn
fyushkinol,Eastern Washington University,waitlisted
gavesq8,Saint Louis University,deferred
llowth7l,Rice University,deferred
scockeroi,Mercer University,pending
dbloxamqp,University of Massachusetts Amherst,deferred
rclericoates2r,Roger Williams University,pending
msudlow55,Princeton University,deferred
alauder45,Eastern Washington University,waitlisted
naldiecr,"University of California, Santa Barbara",denied
bofahertyo7,"University of California, Santa Barbara",pending
lenzley31,Hope College,denied
slapsley2a,Central Connecticut State University,pending
tbrandinqt,Massachusetts Institute of Technology,accepted
dabsonj9,Northwestern University,pending
dabsonj9,Illinois College,pending
mvossejb,University of Delaware,accepted
lsutherelt,SUNY College of Environmental Science and Forestry,pending
htelegamd,Temple University,withdrawn
hwakeford40,School of the Art Institute of Chicago,waitlisted
eduddypk,Reed College,waitlisted
srankling6i,DePaul University,denied
cfilpi8m,Carnegie Mellon University,waitlisted
fingley5x,Temple University,pending
rheake53,School of the Art Institute of Chicago,waitlisted
cbrigdalegt,University of Alabama,withdrawn
tbengalx,Campbell University,pending
pridding3n,North Park University,denied
dfrancesch2s,Transylvania University,denied
mwinsper14,Eastern Washington University,accepted
kdaubney3o,Fordham University,waitlisted
gscarffox,Colorado College,denied
mvint7y,Indiana University Bloomington,deferred
nivanyushkinnr,University of Arkansas,waitlisted
smarriagedx,Franklin & Marshall College,withdrawn
tkiebes1p,University of Delaware,waitlisted
igeockleqw,Texas Tech University,accepted
mlateyrj,Missouri University of Science and Technology,waitlisted
ktudgay8v,"California State University, Fresno",accepted
arembrandtnd,Reed College,accepted
tfantiniay,Stony Brook University,pending
tdarthe50,Mercer University,withdrawn
nlucchij7,Rochester Institute of Technology,denied
hwoodwingp5,Utah State University,denied
dbloxamqp,Hope College,accepted
hsmethurst93,Idaho State University,denied
dmitchleyow,Barnard College,deferred
mdow24,University of Kentucky,denied
gireson5d,Rice University,denied
urissom5i,Gannon University,deferred
kbresnergz,Eastern Illinois University,pending
lfardellh0,William Jewell College,withdrawn
istenner1s,Temple University,accepted
cfilpi8m,University of Richmond,pending
lwatmoughf8,University of Central Florida,deferred
lsouthby3l,Gettysburg College,pending
gpagettkg,University of Hartford,pending
mslixbyl5,Saint Louis University,deferred
gmogenotoz,Princeton University,deferred
mnansom5v,University of Delaware,denied
cbruinemanoy,William Jewell College,accepted
labbetshh,Iona College,accepted
dgladdis3w,Missouri University of Science and Technology,waitlisted
bfairbournbm,"University of Nevada, Reno",denied
mjouannye4,Franklin & Marshall College,pending
rclericoates2r,Moravian College,denied
cgoaksoh,Northwestern University,accepted
onorval96,Utah State University,accepted
istenner1s,Westmont College,accepted
lantognellimb,Vassar College,pending
cbrigdalegt,Centre College,denied
cguidotti1y,Iona College,deferred
gralton9,Indiana University Bloomington,waitlisted
abesseq,Wagner College,deferred
wglynnebs,Barnard College,accepted
igeockleqw,Franklin & Marshall College,accepted
vdaughtreyph,Gannon University,waitlisted
ebilesd3,University of Montana,withdrawn
mvossejb,Clarkson University,waitlisted
jcharlwoodao,St Bonaventure University,waitlisted
gralton9,Eastern Washington University,pending
ttanseyd,Berry College,deferred
jchoatrm,Illinois College,withdrawn
granklingy,Transylvania University,pending
ahuriche4v,Eastern Illinois University,pending
rbrydonj6,Rider University,denied
kvolkers33,DePauw University,withdrawn
kstainlandnx,Rice University,waitlisted
ndescoffierji,Carnegie Mellon University,deferred
ohrinchishine6,Carnegie Mellon University,waitlisted
bhopferev,Drake University,denied
dmacalindeng1,University of Arizona,deferred
adavidoviczqj,SUNY College of Environmental Science and Forestry,denied
cjermyc0,University of Alabama at Birmingham,waitlisted
pgrelikaa,University of Delaware,waitlisted
cbeernt9h,"University of California, Davis",withdrawn
jpalphreymanfo,Transylvania University,pending
agillesonm1,University of Alabama at Birmingham,accepted
nkelloway9d,Carnegie Mellon University,accepted
mkenricka0,Lawrence Technological University,withdrawn
breeve4j,University of Kentucky,pending
iankerii,Campbell University,pending
noverington8z,Reed College,pending
urissom5i,School of the Art Institute of Chicago,withdrawn
khynsondb,University of Houston,waitlisted
cthelwllj3,Franklin & Marshall College,waitlisted
cmunceybb,Kennesaw State University,pending
cbainbriggemo,Temple University,accepted
chowcroft8d,"California State University, Monterey Bay",deferred
gdanaharh4,"University of California, Santa Barbara",waitlisted
mstanclifferd,"University of Nevada, Las Vegas",denied
awoodalld0,Centre College,accepted
wmetzing42,Clarkson University,accepted
gshambroke38,Salve Regina University,pending
sbegwellnl,William Jewell College,waitlisted
tculshewh9,"University of California, Davis",accepted
llutonjp,Indiana University Bloomington,deferred
smccullock3h,New York University,waitlisted
rcapelle84,Carnegie Mellon University,pending
rlangrishg3,"University of California, Santa Barbara",deferred
gmogenotoz,Iona College,waitlisted
kcleareb6,Franklin & Marshall College,accepted
btarpeyqu,University of Maine,waitlisted
slangelayhe,Indiana University Bloomington,denied
warbuckel0,Washington & Jefferson College,denied
pridsdoleh1,Clarkson University,accepted
inabarro1l,Drexel University,withdrawn
rdrevermy,Campbell University,waitlisted
rgheerhaertju,Hendrix College,withdrawn
lkeverenv,Vassar College,denied
cplastown2,St Bonaventure University,waitlisted
kdovydenasqf,"University of Nevada, Reno",denied
grigtsc1,Illinois College,withdrawn
jdurram61,North Park University,deferred
bgrottynv,University of Alabama,pending
ksimonettoaw,"University of California, Santa Cruz",withdrawn
warbuckel0,University of Maine,deferred
nivanyushkinnr,Drake University,deferred
jbuttruml2,Clarkson University,denied
kcleareb6,"California State University, East Bay",waitlisted
fsachnoiw,DePaul University,waitlisted
gsidebothamcp,Westmont College,denied
kpetrichatlw,Samford University,pending
mritmeier88,"University of California, Davis",accepted
jyelding2n,Massachusetts Institute of Technology,withdrawn
bpedrielli6n,DePauw University,pending
cthelwllj3,The College of Wooster,denied
jbrixey5,Colorado College,denied
apail97,Florida Gulf Coast University,accepted
smccuddennh,University of Utah,withdrawn
alambdonib,"California State University, East Bay",pending
gsillsd9,Saint Louis University,waitlisted
mjouannye4,Carnegie Mellon University,waitlisted
rtolhurst3q,Moravian College,denied
lblanningpd,SUNY College of Environmental Science and Forestry,withdrawn
bsabate66,Nova Southeastern University,accepted
kpetraitisko,Northwestern University,withdrawn
agurtonqm,Indiana University Bloomington,accepted
rstablespr,Hendrix College,pending
dsparyp1,Reed College,deferred
kdigiorgiojz,Kennesaw State University,deferred
priep19,DePaul University,denied
cdinwoodiee3,Eastern Illinois University,pending
imarquotfp,Central Connecticut State University,denied
jmacklambf,Northwestern University,pending
dgallicom2,Fordham University,deferred
ggrissett4c,Gordon College,waitlisted
eivanikov2q,Clarkson University,waitlisted
gconwellef,Colgate University,waitlisted
mlorneff,University of Alabama at Birmingham,waitlisted
vdaughtreyph,Mercer University,accepted
eduddypk,SUNY College of Environmental Science and Forestry,accepted
rtowsdi,University of Montana,accepted
etamblingbk,DePaul University,waitlisted
nivanyushkinnr,Roger Williams University,deferred
vrolin71,Smith College,waitlisted
etilfordik,University of Illinois at Chicago,accepted
asantelloiq,"University of California, Santa Barbara",pending
lharriskinek1,Florida Gulf Coast University,denied
ewaller2d,"University of Nevada, Las Vegas",deferred
dmitchleyow,Idaho State University,deferred
gmarcome7r,Berry College,denied
rtolhurst3q,Gannon University,pending
ttanslie7s,The College of St Scholastica,deferred
smcnamee4k,University of Illinois at Chicago,waitlisted
chrinchishincj,Iona College,withdrawn
jbradmoreqn,Drexel University,waitlisted
dcanape80,St Bonaventure University,waitlisted
olabdon2k,Transylvania University,accepted
msherbourne10,University of Illinois at Chicago,withdrawn
fmerrydewh2,Temple University,accepted
bcroughan34,Samford University,pending
gsavegehv,Westmont College,pending
mroseborougho4,Gordon College,waitlisted
ciashviliky,University of Arizona,deferred
leatonaf,Williams College,denied
gshambroke38,Indiana University Bloomington,waitlisted
dmacalindeng1,St Bonaventure University,withdrawn
jdaymentgn,University of Alabama at Birmingham,withdrawn
bneubiginfb,Williams College,waitlisted
asellmanjt,Gannon University,waitlisted
etamblingbk,Missouri University of Science and Technology,deferred
acutressix,Hendrix College,pending
apaskinsro,"California State University, East Bay",waitlisted
kbraddick5p,University of Houston,withdrawn
kgildeam4,St Bonaventure University,accepted
tmquhargeht,Hope College,accepted
dtunnacliffenc,Reed College,deferred
kveljesg0,University of Arizona,withdrawn
ltymcg,Vassar College,withdrawn
kbrissard7j,Carnegie Mellon University,waitlisted
sturley3y,Lawrence Technological University,waitlisted
cbulleyfd,Drake University,accepted
lhollowsd2,Colorado College,waitlisted
alambdonib,Lawrence Technological University,denied
bantonowicz85,Nova Southeastern University,withdrawn
ctynewellmt,Stony Brook University,pending
ciashviliky,Centre College,waitlisted
mschechter6b,Suffolk University,deferred
dyessonfr,Nova Southeastern University,waitlisted
charbinis,Carnegie Mellon University,deferred
kmcalpin4x,University of Massachusetts Amherst,accepted
cjermyc0,Berry College,withdrawn
mpaleyou,North Park University,denied
cleblond7i,Mount Holyoke College,deferred
efarraway8x,Berry College,denied
slabastida1,Providence College,pending
kmclaneqx,Temple University,pending
diczokvitzdy,Rice University,deferred
kkolyaginmk,Missouri University of Science and Technology,deferred
pweeksho,"California State University, East Bay",accepted
wdestoopo1,University of Kentucky,denied
dfrancesch2s,DePauw University,accepted
ageipel17,Massachusetts Institute of Technology,denied
kantognonibr,Providence College,accepted
bnesterovil,Reed College,withdrawn
sdeenyin,Florida Gulf Coast University,withdrawn
jtipler3k,University of Montana,pending
gattreedfz,University of Arkansas,deferred
smcnamee4k,Drexel University,withdrawn
ahamflett9u,Mount Holyoke College,withdrawn
piveagh3m,University of Richmond,denied
cleall7h,Indiana University Bloomington,denied
zarstallci,Idaho State University,deferred
blevet8j,Mount Holyoke College,deferred
jstobartq2,Indiana University Bloomington,denied
tornilsls,University of Richmond,deferred
mticksallar,Iona College,accepted
dhugkmi,Nova Southeastern University,accepted
oroskrug83,Franklin & Marshall College,denied
grichardonql,Clarkson University,waitlisted
lharbertsonn7,School of the Art Institute of Chicago,waitlisted
vashbrookb5,Colorado College,deferred
sribeygw,Gettysburg College,waitlisted
tradnagec7,Moravian College,denied
bantonowicz85,North Park University,accepted
mmosco6e,"University of Nevada, Reno",denied
soreaganku,University of Illinois at Chicago,accepted
lritson4f,Eastern Washington University,waitlisted
dvockings4d,"University of California, Santa Cruz",waitlisted
pmacilriach5k,John Carroll University,waitlisted
gshambroke38,Samford University,accepted
amattkegb,"University of Nevada, Reno",denied
jtayloems,University of Maine,accepted
jcursons41,Nova Southeastern University,withdrawn
kvarnalsl4,Rice University,deferred
aowensony,North Park University,pending
tlacasepm,"University of California, Santa Cruz",denied
cgricelv,University of Massachusetts Amherst,accepted
dneemet,Mississippi State University,accepted
apachecojl,American University,waitlisted
gkeeltagh5q,Indiana University Bloomington,withdrawn
gstobbartm5,Temple University,accepted
cfennelowb,Saint Louis University,accepted
tfeltennp,Clarkson University,accepted
bkinnerleyr1,Reed College,denied
bseilmannda,University of Arizona,withdrawn
kcotter2z,University of Alabama,pending
srochewellir,Massachusetts Institute of Technology,accepted
gstobbartm5,University of Central Florida,accepted
htierney7u,Berry College,accepted
tfantiniay,Mississippi State University,accepted
pbonasm8,"California State University, Fresno",withdrawn
aemmattnw,Utah State University,deferred
alindroi5,Mississippi State University,pending
cblackborough29,Texas Christian University,pending
zarstallci,Colgate University,denied
tnewcomelp,Moravian College,denied
acornew1h,Kalamazoo College,accepted
lantognellimb,Saint Louis University,waitlisted
bmetterickfg,New Jersey Institute of Technology,deferred
qrucklidgecl,Merrimack College,deferred
crubinovitchhz,University of Massachusetts Amherst,deferred
bdargavelp9,Texas Christian University,waitlisted
acrooksfl,Nova Southeastern University,withdrawn
sturley3y,Centre College,denied
kstoyellok,"California State University, Fresno",deferred
smccuddennh,Fordham University,accepted
mcarlettil0,Williams College,denied
tgonsaloif,San Diego State University,deferred
rdrevermy,Gannon University,withdrawn
acutressix,Barnard College,pending
jschneidar3z,University of Arkansas,waitlisted
etamblingbk,Roger Williams University,deferred
pmedfordpf,Massachusetts Institute of Technology,pending
bkinnerleyr1,Nova Southeastern University,waitlisted
gcookesja,Iona College,waitlisted
rgreatexoj,Moravian College,accepted
msudlow55,Westmont College,waitlisted
wstallworthy15,Mercer University,waitlisted
jbuttruml2,Northwestern University,deferred
pwathankb,University of Richmond,denied
hmarczykek,Roger Williams University,accepted
scasalettoal,University of Alabama,accepted
pearengeyit,Centre College,pending
jvankovl1,DePaul University,waitlisted
eroufbp,Massachusetts Institute of Technology,deferred
bkoppked1,Gordon College,denied
wtrapp5o,Stony Brook University,denied
rcapelle84,Centre College,deferred
atetherf5,"University of California, Davis",withdrawn
asapir7a,University of Delaware,waitlisted
gmundowl9,Hendrix College,denied
mroseborougho4,Nova Southeastern University,deferred
cbrigdalegt,Providence College,pending
wglynnebs,School of the Art Institute of Chicago,waitlisted
ebirks89,Samford University,waitlisted
ogillamoa,School of the Art Institute of Chicago,withdrawn
hwakeford40,"University of Nevada, Las Vegas",accepted
mplumbca,Illinois College,withdrawn
twabbps,Iona College,denied
awaddamsl7,Hope College,pending
csitlintonlt,"California State University, East Bay",denied
rgreatexoj,Fordham University,withdrawn
jorgen5s,"California State University, Fresno",pending
bparrishlq,Drake University,withdrawn
tornilsls,Washington & Jefferson College,pending
dhaconbq,"University of Nevada, Las Vegas",deferred
cmosconkq,San Diego State University,pending
agrzeszczykfw,DePaul University,accepted
mfretwelllc,University of Illinois at Chicago,deferred
ldracksfordlg,Smith College,deferred
pchevolleau5m,Rider University,withdrawn
dhuncootmx,Washington & Jefferson College,denied
rdodsworthdr,University of Kentucky,denied
dbloxamqp,Rochester Institute of Technology,pending
flummasana3i,Texas Tech University,waitlisted
igeockleqw,Iona College,accepted
kdyte4t,Kalamazoo College,accepted
emaccookk0,DePauw University,accepted
dstuddqr,Missouri University of Science and Technology,waitlisted
alivettpu,Saint Louis University,denied
abreedb4,New Jersey Institute of Technology,pending
olabdon2k,University of Alabama,waitlisted
ffrance86,New York University,accepted
bborless9m,Reed College,denied
clewty6d,Idaho State University,pending
mpaleyou,Temple University,denied
mlateyrj,Clarkson University,withdrawn
eplowelldd,Colorado College,denied
hkasper62,University of Arkansas,denied
egirardey9k,Princeton University,deferred
jbradmoreqn,"University of California, Davis",withdrawn
ldrysdellhl,St Bonaventure University,deferred
mjentzsch4h,Kennesaw State University,withdrawn
amacclenanmu,University of Houston,withdrawn
bfettiplacekl,Massachusetts Institute of Technology,denied
jdavleygi,Colorado College,pending
beplategj,Eastern Washington University,deferred
vcovottikp,Salve Regina University,denied
aowensony,DePauw University,withdrawn
rtowsdi,Moravian College,pending
pvanderbaaren4b,San Diego State University,waitlisted
kharlockmp,Drexel University,withdrawn
aspitaronu,Idaho State University,accepted
bclearyeo,The College of Wooster,pending
rduggary98,Gannon University,deferred
grichardonql,"California State University, Monterey Bay",accepted
jtipler3k,Gordon College,pending
bparrishlq,Colorado College,withdrawn
jpantonecu,"California State University, East Bay",accepted
hwakeford40,Centre College,accepted
charbinis,Gettysburg College,waitlisted
srochewellir,SUNY College of Environmental Science and Forestry,deferred
chamshawe2,Carnegie Mellon University,pending
asantelloiq,University of Kentucky,waitlisted
dcanape80,Siena College,denied
mknevetpb,University of Richmond,waitlisted
ggroom35,"University of California, Davis",accepted
cblackborough29,Texas Tech University,denied
bamayaeb,University of Utah,deferred
khickenbottomcn,"University of California, Davis",denied
llutonjp,Iona College,denied
jdesbrowlb,Texas Tech University,pending
jalessandrinias,Kalamazoo College,waitlisted
cpardalop,William Jewell College,accepted
lallot3,Merrimack College,accepted
swylemangd,Gettysburg College,waitlisted
rtowsdi,University of Illinois at Chicago,waitlisted
fschiementzrc,School of the Art Institute of Chicago,pending
jburgot9o,Providence College,denied
padin65,University of Arizona,deferred
ldrysdellhl,Rider University,withdrawn
hleggesnt,University of Kentucky,deferred
lfilipponeaz,School of the Art Institute of Chicago,pending
gsavegehv,Reed College,deferred
amccarlot,Temple University,accepted
hvigergh,Texas Christian University,pending
jpaschokw,University of Utah,waitlisted
bswale7e,University of Maine,deferred
cbeggini59,DePauw University,waitlisted
rmabbf7,Mount Holyoke College,withdrawn
rambroix7m,University of Arkansas,deferred
btarpeyqu,School of the Art Institute of Chicago,accepted
amottershaw7f,The College of Wooster,denied
atitchmarshdk,Stevenson University,deferred
llefeuvreq5,"California State University, Monterey Bay",withdrawn
ogillamoa,University of Utah,denied
pjester,"University of Nevada, Reno",denied
pridding3n,Mississippi State University,accepted
mpaleyou,Iona College,deferred
lovittspc,School of the Art Institute of Chicago,denied
mgolthorppc,Smith College,waitlisted
eclynmanov,Samford University,denied
pmaharey12,University of Richmond,waitlisted
esellerkh,Princeton University,waitlisted
rclemmey46,School of the Art Institute of Chicago,pending
sjiruchre,Lawrence Technological University,deferred
grhydderchjc,Carnegie Mellon University,waitlisted
jvarney4n,Eastern Washington University,deferred
apaskinsro,American University,accepted
tbreakwellh6,Moravian College,withdrawn
ecooneyhx,Temple University,waitlisted
bphayre2g,Wagner College,withdrawn
mlingke,SUNY College of Environmental Science and Forestry,denied
dcancellariolr,"University of California, Santa Cruz",accepted
tornilsls,Clarkson University,deferred
cthelwllj3,St Bonaventure University,waitlisted
cmarfe3a,University of Arkansas,pending
dbabinski6k,"University of California, Santa Barbara",waitlisted
ghabble1f,Siena College,accepted
tbartleetkc,Idaho State University,waitlisted
cmarfe3a,University of Arkansas,waitlisted
llazer76,"University of Nevada, Las Vegas",pending
jpattenep,Missouri University of Science and Technology,deferred
iosbornep,Stevenson University,withdrawn
agurtonqm,University of Delaware,withdrawn
fingley5x,Massachusetts Institute of Technology,accepted
jgasonkj,Colgate University,accepted
cdumbell68,Indiana University Bloomington,accepted
rgheerhaertju,Drexel University,pending
llowth7l,Drexel University,pending
smccuddennh,Temple University,denied
apaskinsro,Franklin & Marshall College,waitlisted
tradnagec7,The College of St Scholastica,accepted
tlacasepm,American University,waitlisted
hpattesall2i,Providence College,waitlisted
tetherson6s,Hope College,waitlisted
wstallworthy15,Suffolk University,denied
rfenbyg6,Kalamazoo College,deferred
mmaccaughen1z,"University of Nevada, Reno",waitlisted
dgallicom2,Texas Christian University,denied
mborkett6w,University of Alabama at Birmingham,accepted
lmathesonbw,University of Arizona,deferred
lower9a,Mount Holyoke College,accepted
jmacklambf,University of Houston,waitlisted
kpetrichatlw,DePaul University,deferred
asapir7a,Kennesaw State University,waitlisted
afader95,Smith College,waitlisted
kharlockmp,University of Maine,waitlisted
sstatter7k,Drexel University,accepted
rpreatore5,Texas Tech University,withdrawn
pjester,Campbell University,withdrawn
bcosleybo,Smith College,deferred
lfilipponeaz,Campbell University,withdrawn
hleggesnt,Eastern Washington University,deferred
kmclaneqx,University of Illinois at Chicago,deferred
eaviss2p,Nova Southeastern University,withdrawn
gconiamce,University of Utah,accepted
adanelutti5b,Franklin & Marshall College,waitlisted
oskoyleshk,University of Massachusetts Amherst,denied
dduffreekr,Transylvania University,waitlisted
gmogenotoz,Eastern Illinois University,deferred
ahamstead16,Gordon College,withdrawn
sdifranceshci3r,Colorado College,pending
tcottieoc,Westmont College,withdrawn
mreadwinglh,Clarkson University,deferred
tbenezek7,University of Hartford,pending
jsarjent6v,"California State University, Monterey Bay",denied
dhindenbergerq,University of San Diego,deferred
ecooneyhx,Campbell University,accepted
loreilly2m,Reed College,deferred
crikkardr3,University of Montana,denied
dgladdis3w,Idaho State University,deferred
wscoughq1,New York University,accepted
bclandillon9s,University of Central Florida,waitlisted
slapsley2a,Rider University,denied
jschneidar3z,Westmont College,denied
csonghurstds,North Park University,accepted
bchesshyreer,Iona College,withdrawn
mcoolingdu,University of Central Florida,waitlisted
kfilippazzo8c,Illinois College,withdrawn
mreadwinglh,New York University,withdrawn
fmerrydewh2,"California State University, Monterey Bay",deferred
aglanert4s,American University,deferred
eplowelldd,Stevenson University,deferred
kprickett6t,Campbell University,waitlisted
mjentzsch4h,SUNY College of Environmental Science and Forestry,pending
jcluelowft,University of Massachusetts Amherst,pending
ccreminge,University of Hartford,waitlisted
hsmethurst93,University of Delaware,denied
granklingy,Moravian College,accepted
bborless9m,William Jewell College,withdrawn
chollingdalen8,Gordon College,deferred
sneediu,St Bonaventure University,waitlisted
arembrandtnd,The College of Wooster,withdrawn
awilprecht3d,"University of California, Santa Barbara",denied
