userid,college,status
kcotter2z,William Jewell College,deferred
rraynerb9,Carnegie Mellon University,pending
cmosconkq,"University of Nevada, Las Vegas",waitlisted
onorval96,University of Delaware,waitlisted
rgeater91,DePaul University,deferred
gavesq8,Colorado College,withdrawn
jtippettsi,Rice University,withdrawn
hmargetson7x,"California State University, East Bay",denied
bantonowicz85,Drexel University,denied
ksimonettoaw,Colorado College,waitlisted
rbrowell4z,Texas Tech University,pending
mmcasgillpn,Hendrix College,deferred
mcaudelierdl,St Bonaventure University,pending
mgert6h,School of the Art Institute of Chicago,denied
sbegwellnl,Kalamazoo College,waitlisted
noverington8z,Lawrence Technological University,deferred
olabdon2k,University of Montana,deferred
dduddyg5,University of Utah,denied
collett4m,University of Alabama at Birmingham,accepted
acarpenter8n,Manhattan College,withdrawn
mduvalqv,University of Arkansas,accepted
ggaler8y,University of Alabama at Birmingham,denied
bfreddirk,"California State University, Fresno",withdrawn
khickenbottomcn,Temple University,denied
ldraceyav,"University of California, Davis",accepted
bclearyeo,Colorado College,withdrawn
cjermyc0,Saint Louis University,accepted
gfrottonih,"University of Nevada, Las Vegas",denied
tbartleetkc,St Bonaventure University,denied
drawdalesr8,University of Utah,pending
bfranchyonok1i,"California State University, East Bay",deferred
dmitchleyow,Centre College,accepted
fpielgl,Nova Southeastern University,deferred
afader95,Lawrence Technological University,withdrawn
lmarchant63,Barnard College,pending
kkroutmm,Rochester Institute of Technology,denied
cminihanpi,School of the Art Institute of Chicago,pending
mborkett6w,Stony Brook University,accepted
anittom9,Mercer University,waitlisted
lkrelle5n,University of Delaware,waitlisted
lovittspc,Smith College,pending
kkinavana4,Samford University,accepted
edatono9,Mercer University,accepted
esmietonlz,University of Delaware,withdrawn
imarquotfp,University of Arkansas,deferred
ksellor9l,DePauw University,waitlisted
graith3p,Samford University,accepted
rmidfordof,Reed College,denied
hkitchingnm,Iona College,pending
abasscf,Mississippi State University,pending
lfairhamkv,Massachusetts Institute of Technology,waitlisted
kvarnalsl4,Stony Brook University,deferred
amattkegb,Westmont College,deferred
rboothroyd39,Colorado College,withdrawn
mriddalldf,Eastern Illinois University,pending
mgregg5t,Samford University,accepted
gdundendale32,Providence College,pending
sspringhampz,University of Massachusetts Amherst,accepted
sbegwellnl,SUNY College of Environmental Science and Forestry,accepted
alighti6,St Bonaventure University,denied
aspehrq4,University of Massachusetts Amherst,deferred
kmcalpin4x,The College of St Scholastica,accepted
bgrottynv,Rider University,deferred
pchevolleau5m,University of Illinois at Chicago,accepted
oroglierih,Siena College,withdrawn
fmerrydewh2,Texas Tech University,waitlisted
wgiabucci2v,University of Illinois at Chicago,denied
bdresserk3,Iona College,deferred
pphython1e,Iona College,deferred
stoffts7q,University of Maine,accepted
glazenby5c,Barnard College,denied
dgebuhreu,Wagner College,waitlisted
tbruckmanh7,"California State University, East Bay",waitlisted
cloffill7z,"University of California, Santa Cruz",waitlisted
slangelayhe,Iona College,denied
gtaylderej,University of Utah,withdrawn
warbuckel0,Missouri University of Science and Technology,accepted
kbesson5z,New York University,deferred
mdow24,University of Montana,withdrawn
dringsell3t,Salve Regina University,waitlisted
pbuckbee1k,"University of Nevada, Reno",accepted
dgimenezje,University of Kentucky,withdrawn
hmarczykek,John Carroll University,accepted
alindroi5,Missouri University of Science and Technology,withdrawn
kfloyd4u,SUNY College of Environmental Science and Forestry,waitlisted
gmogenotoz,Westmont College,pending
oskoyleshk,Northwestern University,pending
hrosinabd,Central Connecticut State University,pending
btredgolda3,Lawrence Technological University,accepted
gcogarpj,Fordham University,denied
marrbt,"University of Nevada, Las Vegas",withdrawn
kgentilgx,University of Montana,deferred
jbernakiewiczcs,Idaho State University,denied
dcancellariolr,Saint Louis University,accepted
cjermyc0,Hope College,deferred
sduffreea6,Drexel University,waitlisted
gshambroke38,Eastern Washington University,waitlisted
hfayerbrotherrg,Vassar College,withdrawn
padin65,Fordham University,waitlisted
asantelloiq,Wagner College,pending
gritchmannb,University of Utah,accepted
bwitardiz,Siena College,withdrawn
cbeernt9h,University of Richmond,accepted
etamblingbk,Reed College,pending
sgoodlife7,Princeton University,pending
pgotch3v,Missouri University of Science and Technology,withdrawn
tattwaterqq,Williams College,accepted
mnucator2x,University of Massachusetts Amherst,deferred
gritchmannb,"California State University, Fresno",pending
rabdeya7,Utah State University,withdrawn
lenzley31,Lawrence Technological University,denied
pgotch3v,San Diego State University,deferred
cdumbell68,University of Central Florida,deferred
ebirks89,Central Connecticut State University,denied
sbanaszczyk2h,Wagner College,waitlisted
kprickett6t,Central Connecticut State University,accepted
cgodlipnz,Drake University,withdrawn
tampsrr,Stevenson University,deferred
kphilliskirkrl,University of Hartford,withdrawn
soleahy8q,"University of California, Davis",accepted
bwitardiz,Mercer University,deferred
mcarlettil0,Fordham University,pending
gstraker6o,Franklin & Marshall College,deferred
smarriagedx,St Bonaventure University,pending
ljanjusevico8,New York University,denied
cfilpi8m,University of Arizona,pending
sduffreea6,Manhattan College,withdrawn
aferebeeen,Mount Holyoke College,deferred
ttanslie7s,Illinois College,deferred
mlingke,Franklin & Marshall College,withdrawn
fdulinty4e,Colorado College,pending
cneighbour1u,Rider University,pending
obatesonjk,Roger Williams University,withdrawn
ebulgen94,Franklin & Marshall College,accepted
slapsley2a,Eastern Washington University,pending
abesseq,"University of Nevada, Reno",accepted
ggroom35,Carnegie Mellon University,withdrawn
dmacalindeng1,Stevenson University,pending
rfenbyg6,Transylvania University,pending
hslaghtga,Rice University,accepted
mdoiley1m,University of Houston,denied
rdodsworthdr,The College of St Scholastica,pending
cdunnanaj,School of the Art Institute of Chicago,denied
gfishburnjf,Vassar College,waitlisted
ttanseyd,Vassar College,withdrawn
jtayloems,University of Hartford,deferred
lsealy5f,Temple University,denied
pridding3n,Mississippi State University,accepted
bfettiplacekl,Massachusetts Institute of Technology,pending
bdomenyhm,Iona College,waitlisted
cprescotha,"California State University, Fresno",accepted
bcosleybo,Northwestern University,pending
cbainbriggemo,Gannon University,withdrawn
gmulvihillhr,University of Houston,deferred
wstannasmz,Temple University,accepted
ggaler8y,School of the Art Institute of Chicago,waitlisted
grichardonql,"California State University, East Bay",pending
lharbertsonn7,"University of California, Davis",denied
kdaubney3o,New Jersey Institute of Technology,withdrawn
bkoppked1,University of Kentucky,denied
grigtsc1,Eastern Illinois University,pending
pchevolleau5m,Smith College,denied
rstablespr,Fordham University,waitlisted
dmechemb1,San Diego State University,denied
hivanin8l,Northwestern University,waitlisted
chowlerm3,Moravian College,withdrawn
seaglesa8,Stevenson University,pending
bcanbyaq,Washington & Jefferson College,pending
mkenricka0,University of Alabama,accepted
rloftinf1,Nova Southeastern University,deferred
pbiscop2,John Carroll University,waitlisted
ajaquiss6a,Vassar College,deferred
jalessandrinias,University of Central Florida,accepted
fyushkinol,"California State University, Monterey Bay",denied
rtrytsmando,Mercer University,withdrawn
llowth7l,University of Massachusetts Amherst,waitlisted
mviney77,Missouri University of Science and Technology,waitlisted
rcapelle84,Hendrix College,pending
cjouannotla,Mercer University,waitlisted
bswale7e,Nova Southeastern University,withdrawn
slanfranchi1n,Roger Williams University,pending
jbaggedq,Rider University,accepted
bamayaeb,Transylvania University,waitlisted
pjester,Colorado College,pending
eriselycb,Providence College,denied
jbernakiewiczcs,Saint Louis University,denied
ttanslie7s,Colorado College,denied
dduddyg5,University of Hartford,pending
mvossejb,Illinois College,withdrawn
wgonzaleska,University of San Diego,accepted
fgateleyc9,Kennesaw State University,denied
mnormavilleos,Franklin & Marshall College,waitlisted
dhugkmi,Lawrence Technological University,waitlisted
kcotter2z,Lawrence Technological University,waitlisted
slangelayhe,Gannon University,withdrawn
ccrucesfs,Stevenson University,withdrawn
wbrownsallbj,Centre College,pending
bclandillon9s,Northwestern University,denied
abreedb4,"University of Nevada, Reno",denied
ltolworthie7w,"University of California, Davis",denied
tchastan7o,Franklin & Marshall College,deferred
rbrucen5,Idaho State University,denied
ftrott27,Texas Tech University,accepted
padin65,Westmont College,waitlisted
ndescoffierji,University of Utah,withdrawn
hleggesnt,Florida Gulf Coast University,pending
bfreddirk,"University of Nevada, Las Vegas",withdrawn
dshrawley72,Clarkson University,accepted
sminguetkf,Clarkson University,denied
ireisen4p,Smith College,pending
nolivetiae,Massachusetts Institute of Technology,waitlisted
tculshewh9,Clarkson University,waitlisted
ltymcg,Northwestern University,accepted
bparrishlq,Eastern Illinois University,withdrawn
mspringthorp74,Drake University,waitlisted
hpattesall2i,"University of California, Santa Barbara",accepted
mfretwelllc,Northwestern University,denied
loreilly2m,Barnard College,denied
gbrocktonid,Hendrix College,withdrawn
hfayerbrotherrg,Drexel University,pending
gpagettkg,University of Illinois at Chicago,deferred
cdymottak,Kennesaw State University,deferred
abasscf,American University,denied
kaveriesai,University of Richmond,accepted
vheigl3b,University of San Diego,accepted
cfewp4,Idaho State University,pending
acornew1h,University of Delaware,withdrawn
gavesq8,Lawrence Technological University,accepted
cdymottak,William Jewell College,pending
ttanslie7s,Moravian College,waitlisted
slongwoodbg,Drexel University,withdrawn
dgebuhreu,Fordham University,accepted
ksalliern9,University of Utah,deferred
pbuckbee1k,Massachusetts Institute of Technology,waitlisted
sbegwellnl,Moravian College,deferred
anittom9,University of Central Florida,waitlisted
rbrowell4z,Siena College,withdrawn
cneighbour1u,New Jersey Institute of Technology,deferred
hgoodramlu,Princeton University,waitlisted
gohagan9b,Moravian College,waitlisted
dmechemb1,Eastern Illinois University,withdrawn
jpantonecu,"California State University, Monterey Bay",denied
jdavleygi,Fordham University,deferred
gscarffox,Siena College,accepted
dtunnacliffenc,Fordham University,pending
hsneppbx,North Park University,deferred
kpetrichatlw,Hope College,deferred
tbarsama1,"University of California, Santa Cruz",deferred
lritson4f,Gannon University,deferred
agoldup9r,Merrimack College,waitlisted
asotworthpe,Temple University,withdrawn
awaddamsl7,Utah State University,pending
wstallworthy15,Illinois College,waitlisted
mgregg5t,Temple University,waitlisted
kmaryanap,Florida Gulf Coast University,denied
jthainj,San Diego State University,denied
tmurpheyhq,"California State University, Fresno",pending
rloftier2,Fordham University,deferred
rtoffanellini,Rider University,pending
aioselev7n,Eastern Illinois University,deferred
hwortmanno,Gettysburg College,withdrawn
mgregg5t,Rider University,denied
arembrandtnd,University of Alabama,denied
dringsell3t,Mercer University,denied
rhandscombedj,Kennesaw State University,denied
lsealy5f,Siena College,denied
jcharlwoodao,Reed College,withdrawn
pridding3n,Vassar College,waitlisted
mduvalqv,"University of Nevada, Reno",deferred
gstobbartm5,Fordham University,denied
bgunderson47,Hendrix College,withdrawn
hedes1j,New York University,deferred
ciashviliky,Rider University,accepted
mkrebso2,Transylvania University,accepted
speskinfy,Missouri University of Science and Technology,deferred
rarnor7,Manhattan College,withdrawn
zdissr6,Stevenson University,withdrawn
ltymcg,University of Central Florida,pending
kseagrove9x,Roger Williams University,withdrawn
caymeri3,"California State University, Fresno",accepted
bbosse7t,Hendrix College,denied
loganc8,Rochester Institute of Technology,pending
wtrapp5o,Mount Holyoke College,deferred
bfairbournbm,Suffolk University,deferred
acutressix,University of Delaware,accepted
fnancarrowp3,Stevenson University,pending
lmcilhatton9z,University of Illinois at Chicago,waitlisted
sdifranceshci3r,Gannon University,pending
crubinovitchhz,Samford University,accepted
jcolquyte49,Centre College,deferred
lharbertsonn7,Berry College,accepted
pearengeyit,Campbell University,deferred
egaskarth9y,Kennesaw State University,denied
aspitaronu,Mount Holyoke College,deferred
ksimonettoaw,New Jersey Institute of Technology,denied
dringsell3t,Colorado College,pending
flummasana3i,Hope College,accepted
bdresserk3,"University of Nevada, Reno",denied
smccullock3h,Rider University,accepted
loganc8,Salve Regina University,accepted
vtruran8p,University of Illinois at Chicago,waitlisted
llazer76,Iona College,denied
flomiscz,Wagner College,accepted
vrolin71,Utah State University,deferred
mwinsper14,Siena College,withdrawn
hslaghtga,Texas Tech University,withdrawn
ebirks89,Idaho State University,deferred
gshambroke38,"California State University, Fresno",withdrawn
jtayloems,Idaho State University,waitlisted
mslixbyl5,Mississippi State University,deferred
ksalliern9,Rice University,pending
pmaharey12,Missouri University of Science and Technology,accepted
cbainbriggemo,University of Arkansas,pending
kdaubney3o,Eastern Washington University,accepted
rpreatore5,University of Alabama at Birmingham,waitlisted
priep19,Texas Christian University,accepted
dshrawley72,University of Utah,accepted
bgrayerjj,Mississippi State University,withdrawn
bfreddirk,Westmont College,withdrawn
mtremlettad,Texas Tech University,waitlisted
gavesq8,Eastern Illinois University,deferred
kvolkers33,Mississippi State University,denied
rchevolleau43,University of Delaware,deferred
cbruna90,Berry College,denied
labbetshh,Florida Gulf Coast University,pending
kmaryanap,Westmont College,waitlisted
ktrineman9q,The College of Wooster,withdrawn
mcawkwellmj,"University of California, Davis",denied
srochewellir,Stevenson University,waitlisted
upetraccina,School of the Art Institute of Chicago,withdrawn
ibartholomew3s,San Diego State University,waitlisted
avanderbaaren3x,Central Connecticut State University,deferred
wfoort8e,University of Illinois at Chicago,withdrawn
jgasonkj,University of Delaware,deferred
mmulberry6m,Kennesaw State University,waitlisted
khynsondb,Salve Regina University,denied
granklingy,University of Central Florida,withdrawn
kcookleygp,"University of Nevada, Reno",accepted
cloffill7z,"University of California, Santa Barbara",pending
smccuddennh,Rider University,withdrawn
rtowsdi,Indiana University Bloomington,denied
jkoeppke6g,Florida Gulf Coast University,pending
cgoaksoh,Saint Louis University,deferred
edavydychev92,North Park University,deferred
padin65,Idaho State University,denied
isymesjq,Saint Louis University,accepted
jcursons41,University of Maine,accepted
abreedb4,University of Central Florida,pending
lfilipponeaz,Indiana University Bloomington,denied
colenikov8k,Indiana University Bloomington,denied
bbute3u,Suffolk University,waitlisted
llazer76,Hope College,deferred
vhubbinsmh,University of Montana,pending
mhammerberger2,Princeton University,pending
slabastida1,University of Massachusetts Amherst,withdrawn
pgrelikaa,Colorado College,accepted
cmunceybb,John Carroll University,accepted
adavidoviczqj,DePauw University,waitlisted
mborland7v,Suffolk University,pending
seaglesa8,Smith College,accepted
fstokermf,Iona College,withdrawn
bantonowicz85,University of Hartford,pending
kprickett6t,The College of St Scholastica,accepted
okhristyukhin13,Centre College,pending
llindholm4g,Vassar College,deferred
hivanin8l,Clarkson University,denied
jcluelowft,Clarkson University,deferred
aspehrq4,Reed College,waitlisted
llimmingne,Illinois College,withdrawn
cmarfe3a,Berry College,accepted
ntosspellig,Siena College,denied
pjester,Rochester Institute of Technology,withdrawn
psheptones,University of Kentucky,deferred
nwhitneykt,North Park University,denied
jdelacosteg4,"University of California, Davis",deferred
nwhitneykt,Mississippi State University,pending
cbellinooo,University of Houston,deferred
csonghurstds,Manhattan College,accepted
khynsondb,Texas Christian University,accepted
smarriagedx,Providence College,accepted
jlurnerj5,Gannon University,pending
oroglierih,Eastern Illinois University,accepted
oroglierih,Idaho State University,withdrawn
gstraker6o,University of Montana,denied
tkiefer6c,Gannon University,pending
evellden69,University of Maine,withdrawn
dshilvock9v,Texas Christian University,pending
bseppeyg8,University of Richmond,accepted
bheinschke67,"University of California, Santa Barbara",waitlisted
acornew1h,Northwestern University,deferred
tkiefer6c,Fordham University,withdrawn
jvarney4n,American University,denied
bmetterickfg,Gannon University,pending
tkemmisz,Clarkson University,deferred
bfiremanjm,University of Kentucky,accepted
rbrydonj6,Moravian College,waitlisted
ahevner73,Indiana University Bloomington,pending
ckenneway9i,Mount Holyoke College,accepted
kvolkers33,Massachusetts Institute of Technology,denied
nkelloway9d,Transylvania University,pending
vrolin71,John Carroll University,denied
sgermanij,The College of St Scholastica,deferred
cgernerny,University of Hartford,accepted
asollarsea,University of Arkansas,waitlisted
hfavelleoq,University of Massachusetts Amherst,denied
afranktonb3,Samford University,pending
amottershaw7f,American University,withdrawn
dgladdis3w,American University,accepted
ttanseyd,Temple University,deferred
rlangrishg3,American University,denied
bscrivener5w,Providence College,deferred
egaskarth9y,Barnard College,accepted
pridsdoleh1,Central Connecticut State University,withdrawn
trettiema,Rice University,accepted
cmarfe3a,Roger Williams University,withdrawn
kgianettinipt,University of Illinois at Chicago,waitlisted
ktrineman9q,New Jersey Institute of Technology,denied
eclynmanov,The College of St Scholastica,waitlisted
cbainbriggemo,University of Delaware,withdrawn
cmalans,University of Alabama at Birmingham,waitlisted
agrzeszczykfw,University of Central Florida,accepted
tbarsama1,Barnard College,denied
tmurpheyhq,Drexel University,deferred
mborkett6w,Stony Brook University,denied
gstraker6o,Gordon College,deferred
dmitchleyow,Mount Holyoke College,pending
mmonaghan8,Siena College,waitlisted
hwortmanno,Smith College,waitlisted
pbardillfu,"University of California, Davis",accepted
wbosketfh,Gannon University,denied
tbengalx,"California State University, Monterey Bay",denied
rarnor7,Kennesaw State University,pending
gjentinjy,Iona College,deferred
csidnell23,North Park University,waitlisted
mgregg5t,Drake University,pending
tbreakwellh6,Barnard College,accepted
gtreharnek2,Moravian College,waitlisted
mpaleyou,Moravian College,accepted
rpoldingeh,Washington & Jefferson College,withdrawn
tgrissbu,University of Illinois at Chicago,denied
aioselev7n,Drake University,denied
rdodsworthdr,University of Illinois at Chicago,accepted
jbernakiewiczcs,"University of California, Santa Barbara",accepted
crichenspq,SUNY College of Environmental Science and Forestry,accepted
jwitterl8,"University of California, Santa Barbara",pending
atunnicliffehc,Mount Holyoke College,accepted
pcochhf,Iona College,accepted
llowth7l,Roger Williams University,pending
nbrosekefv,Northwestern University,waitlisted
mcawkwellmj,"California State University, Monterey Bay",waitlisted
sscolefc,DePauw University,waitlisted
ogillamoa,Rider University,waitlisted
acarnowm6,Temple University,pending
scasalettoal,Rochester Institute of Technology,accepted
gkeeltagh5q,San Diego State University,accepted
msweedlandd7,Gannon University,deferred
asantelloiq,Mercer University,denied
mdorrancemq,"California State University, Fresno",waitlisted
wfoort8e,The College of Wooster,withdrawn
cleblond7i,Smith College,deferred
hclowsleyqs,Massachusetts Institute of Technology,withdrawn
sshawag,University of Central Florida,pending
swylemangd,John Carroll University,accepted
kdovydenasqf,Westmont College,waitlisted
llahertyd6,Massachusetts Institute of Technology,denied
pgotch3v,Florida Gulf Coast University,denied
lkeverenv,The College of Wooster,pending
hpattesall2i,Hendrix College,pending
crubinovitchhz,"University of California, Davis",withdrawn
tbengalx,Hope College,pending
mvint7y,Missouri University of Science and Technology,denied
flummasana3i,American University,accepted
pchevolleau5m,University of Illinois at Chicago,accepted
swylemangd,Siena College,accepted
dvockings4d,Princeton University,pending
wbosketfh,Berry College,denied
tkleiser6p,"California State University, Fresno",withdrawn
akerwickjv,University of Maine,waitlisted
mkenricka0,"California State University, Fresno",waitlisted
mdoiley1m,Gettysburg College,waitlisted
mroffey78,Barnard College,pending
mborkett6w,University of Richmond,withdrawn
tcottieoc,Smith College,pending
cjouannotla,Wagner College,deferred
ajaquiss6a,Rider University,deferred
slabonqa,Illinois College,waitlisted
chamshawe2,Florida Gulf Coast University,deferred
oskoyleshk,Gettysburg College,deferred
grichardonql,Lawrence Technological University,pending
mtremlettad,University of Alabama at Birmingham,accepted
grhydderchjc,Kennesaw State University,denied
kkinavana4,"University of Nevada, Reno",waitlisted
slapsley2a,University of Alabama,pending
twabbps,Colorado College,accepted
ccroyserio,Drexel University,pending
hgoodramlu,Clarkson University,waitlisted
mreadwinglh,Texas Christian University,deferred
mkenricka0,Moravian College,deferred
cdurgan2y,"California State University, Monterey Bay",withdrawn
mviney77,Central Connecticut State University,withdrawn
dgebuhreu,Illinois College,waitlisted
gtreharnek2,Merrimack College,withdrawn
cbrigdalegt,Campbell University,deferred
oroglierih,DePauw University,accepted
