userid,college,status
jpalphreymanfo,Eastern Illinois University,accepted
pagiolfingerhp,Mount Holyoke College,accepted
kdaubney3o,"University of Nevada, Las Vegas",pending
bkintone1,Florida Gulf Coast University,withdrawn
gmulvihillhr,Suffolk University,waitlisted
cprisen4,"California State University, East Bay",withdrawn
mmcasgillpn,Siena College,withdrawn
sduffreea6,"California State University, Monterey Bay",withdrawn
tkleiser6p,Missouri University of Science and Technology,waitlisted
psheptones,Princeton University,withdrawn
efennerbn,Roger Williams University,deferred
cdurgan2y,University of Central Florida,withdrawn
imarchington8u,New Jersey Institute of Technology,waitlisted
lkrelle5n,Florida Gulf Coast University,withdrawn
jburgot9o,Rochester Institute of Technology,accepted
mreadwinglh,William Jewell College,withdrawn
jstobartq2,Colorado College,accepted
nbasdenez,Reed College,pending
snys9c,Saint Louis University,accepted
pridding3n,DePauw University,denied
bamayaeb,Vassar College,pending
fkeightley8h,Northwestern University,withdrawn
jcharlwoodao,Clarkson University,accepted
bcosleybo,North Park University,denied
ggrissett4c,SUNY College of Environmental Science and Forestry,waitlisted
avanderbaaren3x,Transylvania University,denied
anisenf6,DePaul University,pending
aspehrq4,Missouri University of Science and Technology,denied
tstiggles26,"University of Nevada, Reno",pending
cblackborough29,Drake University,withdrawn
lgiddensey,Wagner College,waitlisted
nraglesa2,Temple University,pending
mprimett25,University of Richmond,waitlisted
nlucchij7,University of Maine,accepted
vdaughtreyph,Eastern Illinois University,pending
jkarpfr4,University of Richmond,accepted
efarraway8x,Stony Brook University,deferred
asellmanjt,Samford University,deferred
mmcasgillpn,San Diego State University,deferred
gmatevosianqy,Washington & Jefferson College,withdrawn
llowth7l,Franklin & Marshall College,deferred
dneemet,Utah State University,accepted
rclericoates2r,Siena College,waitlisted
cfennelowb,"University of California, Davis",pending
bbute3u,Stevenson University,accepted
jvankovl1,University of San Diego,accepted
awilprecht3d,DePauw University,pending
jtipler3k,Wagner College,accepted
cdumbell68,William Jewell College,withdrawn
grichardonql,Samford University,waitlisted
fhanscomeqc,University of Illinois at Chicago,accepted
dgebuhreu,Fordham University,pending
bhastygo,SUNY College of Environmental Science and Forestry,pending
smcgoldrick81,"University of Nevada, Reno",deferred
jcolquyte49,University of Houston,waitlisted
fwestbrook5l,Iona College,deferred
jboddyld,Smith College,pending
pmaharey12,DePauw University,withdrawn
dfaulconbridge75,University of San Diego,withdrawn
khodgin3e,Rice University,withdrawn
bhastygo,Northwestern University,accepted
jpowleslandm7,Vassar College,denied
gmatevosianqy,"University of Nevada, Las Vegas",deferred
jromeo6y,Temple University,deferred
lfairhamkv,Northwestern University,denied
apicardam,John Carroll University,withdrawn
jbrixey5,Suffolk University,waitlisted
csonghurstds,Franklin & Marshall College,accepted
cvalenssmithjw,North Park University,waitlisted
jschneidar3z,Vassar College,withdrawn
etamblingbk,Nova Southeastern University,waitlisted
bhopferev,University of Alabama,waitlisted
hedes1j,Saint Louis University,deferred
tfeltennp,Mississippi State University,waitlisted
dsparyp1,The College of St Scholastica,deferred
bdomenyhm,Colorado College,accepted
sdifranceshci3r,"California State University, Fresno",waitlisted
jtayloems,Stony Brook University,waitlisted
jjacobovitchq0,Lawrence Technological University,denied
amacclenanmu,John Carroll University,deferred
amacclenanmu,University of Illinois at Chicago,denied
jkoeppke6g,New Jersey Institute of Technology,pending
smccuddennh,Carnegie Mellon University,withdrawn
asapir7a,John Carroll University,denied
soleahy8q,Gettysburg College,waitlisted
zarstallci,Gannon University,deferred
mroffey78,"University of California, Davis",accepted
nmish7p,"University of California, Davis",withdrawn
asollarsea,University of Alabama,denied
rclemmey46,"University of California, Davis",deferred
cmarfe3a,The College of Wooster,withdrawn
wbierton1t,University of Delaware,accepted
cgodlipnz,Missouri University of Science and Technology,accepted
hslaghtga,Franklin & Marshall College,withdrawn
awoodalld0,Salve Regina University,pending
jschneidar3z,Texas Tech University,withdrawn
mallchornde,"California State University, East Bay",accepted
rboothroyd39,Stony Brook University,waitlisted
dfaulconbridge75,Mount Holyoke College,waitlisted
lfardellh0,Hope College,pending
apachecojl,Smith College,waitlisted
tetherson6s,"University of California, Santa Cruz",denied
cdunnanaj,Mercer University,deferred
tmecchigg,North Park University,deferred
flummasana3i,SUNY College of Environmental Science and Forestry,pending
blevet8j,North Park University,withdrawn
smeadusg,Stevenson University,waitlisted
alatoura5,University of Utah,withdrawn
mvossejb,Saint Louis University,pending
pkeaveic,Manhattan College,pending
gcroncheyie,Williams College,waitlisted
esmietonlz,Smith College,denied
eaviss2p,Drexel University,pending
jbradmoreqn,"University of California, Santa Cruz",withdrawn
gstraker6o,Nova Southeastern University,denied
esmietonlz,Florida Gulf Coast University,accepted
rnelane7c,Suffolk University,denied
dgallicom2,Colorado College,deferred
lpretswelldz,University of Kentucky,accepted
tscala1v,Eastern Illinois University,deferred
warbuckel0,Manhattan College,deferred
speskinfy,Westmont College,withdrawn
mcarlettil0,SUNY College of Environmental Science and Forestry,accepted
aputtrelldw,Moravian College,waitlisted
gcogarpj,School of the Art Institute of Chicago,pending
bocheltree36,"California State University, Monterey Bay",accepted
bofahertyo7,Northwestern University,accepted
gireson5d,New York University,withdrawn
pbonasm8,San Diego State University,withdrawn
jlarkingsnf,"University of California, Davis",withdrawn
nsempillml,San Diego State University,pending
padin65,Centre College,pending
vcasassai8,Illinois College,accepted
wbierton1t,University of Alabama at Birmingham,accepted
gsillsd9,Providence College,withdrawn
cneligank5,University of Hartford,deferred
flomiscz,New Jersey Institute of Technology,denied
ksadgrove8i,Moravian College,deferred
lfilipponeaz,"California State University, East Bay",denied
cbaalhamj2,Gannon University,denied
jtippettsi,North Park University,pending
cdunnanaj,Washington & Jefferson College,waitlisted
adanelutti5b,Washington & Jefferson College,denied
fhanscomeqc,"California State University, East Bay",accepted
fdulinty4e,Manhattan College,denied
bkoppked1,Mississippi State University,denied
cneighbour1u,Temple University,accepted
rdrevermy,The College of Wooster,waitlisted
rchevolleau43,Temple University,waitlisted
gohagan9b,Rider University,withdrawn
vheigl3b,Rochester Institute of Technology,withdrawn
tmurpheyhq,"University of Nevada, Reno",pending
grichardonql,Smith College,denied
ralennikov2j,Gettysburg College,waitlisted
ksimonettoaw,Indiana University Bloomington,accepted
kaggas2b,New York University,deferred
wchamah,Drake University,pending
lmckernonrq,St Bonaventure University,accepted
kpetrichatlw,Samford University,deferred
gsavegehv,Princeton University,accepted
iwaytew,Wagner College,deferred
fdulinty4e,Mercer University,accepted
jrotham7b,Saint Louis University,denied
dfaulconbridge75,University of Delaware,accepted
jpaschokw,Vassar College,denied
lkrelle5n,University of Utah,denied
bphayre2g,Gettysburg College,accepted
bpritchittme,Iona College,denied
kpetrichatlw,University of Richmond,waitlisted
erudderhamn3,Drake University,accepted
swylemangd,Drexel University,accepted
gdanaharh4,Transylvania University,denied
lantonowiczrb,Nova Southeastern University,denied
khickenbottomcn,Saint Louis University,pending
bswale7e,William Jewell College,withdrawn
asapir7a,University of Massachusetts Amherst,pending
cpidgeleyq3,Transylvania University,withdrawn
efarraway8x,Westmont College,deferred
jpowleslandm7,Centre College,withdrawn
ltrippiy,Vassar College,withdrawn
gpeiroi0,New Jersey Institute of Technology,pending
hbrittonerbv,DePaul University,deferred
ncaldwallc4,Massachusetts Institute of Technology,pending
hgoodramlu,University of Kentucky,accepted
lwatmoughf8,Mount Holyoke College,pending
loguzi2,Stony Brook University,withdrawn
hslaghtga,University of Houston,pending
pmace5h,Central Connecticut State University,denied
bzimmeri4,"California State University, Fresno",deferred
ahadigatejg,Eastern Washington University,denied
dbabinski6k,Hope College,denied
fnancarrowp3,Central Connecticut State University,accepted
rledinghameg,Utah State University,deferred
pfarensp0,Franklin & Marshall College,accepted
etilfordik,North Park University,pending
mroffey78,Vassar College,accepted
rabdeya7,Eastern Washington University,withdrawn
pcatterallpx,Colorado College,accepted
scasalettoal,University of Maine,pending
hpattesall2i,University of Central Florida,withdrawn
dringsell3t,Colgate University,pending
fmolenhg,Roger Williams University,accepted
efennerbn,Merrimack College,denied
fbellochc3,"University of California, Davis",denied
rsheilds56,University of Houston,accepted
llindholm4g,University of Alabama at Birmingham,waitlisted
lantonowiczrb,Temple University,deferred
oroskrug83,Colorado College,accepted
dmacalindeng1,Idaho State University,pending
rarnor7,Idaho State University,withdrawn
anittom9,Temple University,withdrawn
btarpeyqu,University of Central Florida,deferred
caymeri3,Hope College,withdrawn
bclandillon9s,Mercer University,denied
rdraijerd4,Rochester Institute of Technology,accepted
mstanclifferd,San Diego State University,withdrawn
dabsonj9,Vassar College,deferred
pduns5y,Clarkson University,deferred
sstaner3c,Barnard College,waitlisted
hclowsleyqs,Gettysburg College,pending
apicardam,Roger Williams University,deferred
bclearyeo,Eastern Illinois University,withdrawn
jvankovl1,Clarkson University,deferred
padin65,"University of California, Santa Barbara",withdrawn
vheigl3b,Mount Holyoke College,denied
llimmingne,Moravian College,deferred
bharfoot82,University of Richmond,pending
omallatratt7d,American University,waitlisted
rledinghameg,"University of Nevada, Reno",denied
lantognellimb,Northwestern University,deferred
ltymcg,Mount Holyoke College,denied
dsparyp1,Eastern Illinois University,accepted
ryeendby,University of Arizona,pending
rlarkworthyo6,Transylvania University,withdrawn
psheptones,Drake University,deferred
wbosketfh,Westmont College,deferred
rhamlyg9,Smith College,pending
gdaglishpo,Roger Williams University,pending
ahamstead16,Clarkson University,pending
mrenakly,Mercer University,withdrawn
mkrebso2,Vassar College,withdrawn
vhubbinsmh,Washington & Jefferson College,pending
bdargavelp9,Westmont College,waitlisted
lmaidendg,Eastern Illinois University,withdrawn
pridsdoleh1,Manhattan College,withdrawn
kbulledkz,Carnegie Mellon University,deferred
asantelloiq,Carnegie Mellon University,pending
ghabble1f,The College of Wooster,denied
dnuschke8g,"University of Nevada, Reno",deferred
jstobartq2,University of Richmond,denied
dneemet,University of Massachusetts Amherst,accepted
geady2c,Colorado College,waitlisted
kaveriesai,"University of California, Davis",waitlisted
dnuschke8g,Suffolk University,accepted
drawdalesr8,Texas Christian University,deferred
wtitmuss2w,Idaho State University,denied
lmckernonrq,San Diego State University,waitlisted
gmulvihillhr,University of Illinois at Chicago,pending
tfeltennp,William Jewell College,pending
dlaurencot8r,Idaho State University,pending
tcottieoc,San Diego State University,accepted
blevet8j,University of Richmond,deferred
cisaacsondc,University of Utah,accepted
jtippettsi,New Jersey Institute of Technology,withdrawn
rlarkworthyo6,Mount Holyoke College,withdrawn
jgasonkj,"University of California, Davis",deferred
mcoolingdu,William Jewell College,deferred
bgoschalkhn,Hendrix College,denied
emedddm,Idaho State University,accepted
rackensonkn,Utah State University,denied
cgerbjs,University of Montana,withdrawn
lantognellimb,Utah State University,accepted
dmechemb1,Siena College,pending
tbenezek7,SUNY College of Environmental Science and Forestry,withdrawn
amorsonmr,University of Montana,withdrawn
mmcgaughayck,Iona College,accepted
asapir7a,Temple University,waitlisted
grigtsc1,University of Hartford,withdrawn
esellerkh,University of Alabama,withdrawn
mmcgaughayck,St Bonaventure University,pending
dtunnacliffenc,Moravian College,withdrawn
tbartleetkc,DePauw University,denied
bfreddirk,Kennesaw State University,waitlisted
dfaulconbridge75,Colgate University,withdrawn
ksimonettoaw,University of Arkansas,deferred
kurienim,Florida Gulf Coast University,withdrawn
rdrevermy,"University of California, Santa Cruz",pending
kvolkers33,University of Alabama at Birmingham,deferred
cbrigdalegt,Hope College,waitlisted
anittom9,University of Alabama at Birmingham,withdrawn
kbraddick5p,DePauw University,waitlisted
jsarjent6v,"California State University, Fresno",pending
scockeroi,Utah State University,deferred
bfairbournbm,Missouri University of Science and Technology,deferred
mallchornde,Mississippi State University,accepted
bcroughan34,Drake University,pending
mshellard5j,School of the Art Institute of Chicago,pending
tjeaffresonmc,Barnard College,withdrawn
collett4m,University of Delaware,withdrawn
rloftinf1,Rice University,deferred
phayzerfa,Hendrix College,waitlisted
bzimmeri4,Drexel University,pending
amattkegb,Suffolk University,accepted
bbosse7t,Moravian College,waitlisted
dneemet,Merrimack College,accepted
fmerrydewh2,University of Richmond,withdrawn
pcatterallpx,New York University,deferred
ccrucesfs,University of Alabama,deferred
pmedfordpf,Texas Tech University,denied
rdrevermy,Manhattan College,waitlisted
fpielgl,Saint Louis University,withdrawn
jyelding2n,Smith College,waitlisted
rraynerb9,Williams College,waitlisted
ahadigatejg,Missouri University of Science and Technology,deferred
mroffey78,University of Maine,denied
rduggary98,University of Alabama at Birmingham,pending
jkoeppke6g,John Carroll University,denied
csitlintonlt,Washington & Jefferson College,waitlisted
ksadgrove8i,Eastern Illinois University,withdrawn
tgrzelakli,Drexel University,waitlisted
crikkardr3,Idaho State University,deferred
loreilly2m,University of Kentucky,deferred
aspitaronu,Rice University,pending
mvossejb,Suffolk University,deferred
dgoringj8,Washington & Jefferson College,withdrawn
wstallworthy15,Transylvania University,deferred
bmurgatroydmv,Northwestern University,withdrawn
isymesjq,Hendrix College,denied
rcapelle84,University of Illinois at Chicago,accepted
labbetshh,Drexel University,waitlisted
jpowleslandm7,University of Illinois at Chicago,withdrawn
ebulgen94,Smith College,withdrawn
ccorrettan,Stony Brook University,waitlisted
mcoolingdu,Massachusetts Institute of Technology,accepted
cmosconkq,New York University,deferred
mdorrancemq,University of Richmond,withdrawn
bfranchyonok1i,"University of California, Davis",deferred
thefferank,Massachusetts Institute of Technology,pending
bdomenyhm,Idaho State University,waitlisted
gkeeltagh5q,Missouri University of Science and Technology,denied
ldrysdellhl,Stevenson University,waitlisted
dlouther5,Gettysburg College,accepted
cthelwllj3,Temple University,pending
mroseborougho4,Roger Williams University,withdrawn
gmarcome7r,University of Kentucky,deferred
hfraczkiewiczo5,Illinois College,denied
nboulsherqo,The College of Wooster,waitlisted
bzimmeri4,University of Delaware,pending
jlurnerj5,University of Arkansas,deferred
rbernadebh,Berry College,waitlisted
ktrineman9q,Mississippi State University,denied
flightbourn70,Lawrence Technological University,deferred
cbellinooo,University of Delaware,pending
bkintone1,Merrimack College,accepted
eolensby4a,University of Arkansas,deferred
sscolefc,Northwestern University,pending
ebulgen94,University of Massachusetts Amherst,waitlisted
slacy9w,Temple University,denied
mhammerberger2,University of Central Florida,denied
nboulsherqo,University of Hartford,withdrawn
trettiema,Missouri University of Science and Technology,withdrawn
mmcgaughayck,Clarkson University,deferred
mdroogan6l,John Carroll University,accepted
itousey22,Stevenson University,withdrawn
rmincini5a,School of the Art Institute of Chicago,accepted
llahertyd6,Saint Louis University,withdrawn
geady2c,Vassar College,deferred
kbeards6x,Fordham University,pending
fhordle30,SUNY College of Environmental Science and Forestry,withdrawn
llugton5g,Princeton University,denied
mmisklm,Colorado College,waitlisted
scoramcq,Berry College,withdrawn
acarpenter8n,DePaul University,accepted
astorrockbc,Gannon University,withdrawn
rtowsdi,Gettysburg College,denied
fpllucc,Campbell University,denied
kantognonibr,Vassar College,deferred
mmcasgillpn,University of Kentucky,withdrawn
egonthardjx,San Diego State University,waitlisted
hhuner9,University of Illinois at Chicago,accepted
cjouannotla,Northwestern University,denied
wtitmuss2w,Wagner College,pending
gbuttlerf0,University of San Diego,withdrawn
nwhitneykt,"California State University, Fresno",waitlisted
zdissr6,University of Richmond,accepted
jburgot9o,Kennesaw State University,waitlisted
rmackain1a,University of Delaware,waitlisted
ahamflett9u,University of Houston,deferred
nmeir8a,Merrimack College,accepted
aspehrq4,University of Kentucky,accepted
rpoldingeh,Centre College,pending
ereed9f,Drexel University,deferred
jyelding2n,University of Alabama,denied
gdanaharh4,University of Illinois at Chicago,denied
asapir7a,Fordham University,withdrawn
llimmingne,North Park University,pending
bwitardiz,Lawrence Technological University,waitlisted
hfavelleoq,Idaho State University,pending
nspleving8b,University of Hartford,withdrawn
fpielgl,Colgate University,accepted
alowndsbroughfi,"California State University, East Bay",accepted
hclowsleyqs,Stevenson University,deferred
aowensony,"California State University, East Bay",deferred
nhawtinln,Kalamazoo College,waitlisted
ccomo4r,North Park University,deferred
hwakeford40,"University of Nevada, Reno",denied
isymesjq,Berry College,waitlisted
pgrelikaa,Iona College,deferred
gfishburnjf,SUNY College of Environmental Science and Forestry,deferred
pridsdoleh1,University of Alabama at Birmingham,withdrawn
sputtenq9,Stony Brook University,accepted
jdesbrowlb,"University of California, Santa Barbara",deferred
gpeiroi0,University of Delaware,denied
granklingy,Mount Holyoke College,deferred
tdarthe50,Berry College,denied
erudderhamn3,University of Montana,accepted
bgatchell6r,Rice University,denied
rdraijerd4,Kalamazoo College,deferred
cdumbell68,University of Massachusetts Amherst,deferred
llimmingne,Campbell University,denied
rraynerb9,Rochester Institute of Technology,waitlisted
rtombleson4l,Carnegie Mellon University,denied
slanfranchi1n,Kalamazoo College,pending
kdyte4t,Merrimack College,waitlisted
jandreacciohs,Washington & Jefferson College,deferred
llugton5g,Drake University,deferred
eivanikov2q,"California State University, Fresno",accepted
kcleareb6,Drexel University,accepted
gmarcome7r,Kalamazoo College,withdrawn
alukesch87,SUNY College of Environmental Science and Forestry,waitlisted
tjeaffresonmc,Mississippi State University,accepted
ebulgen94,University of Houston,accepted
xbrum3g,Stony Brook University,pending
rheake53,Smith College,withdrawn
cplastown2,Reed College,waitlisted
athistletondp,University of Richmond,accepted
asollarsea,William Jewell College,withdrawn
tculshewh9,Siena College,denied
akeirn,Eastern Illinois University,waitlisted
mborkett6w,Texas Christian University,withdrawn
csonghurstds,DePauw University,denied
bamayaeb,Providence College,withdrawn
wgiabucci2v,North Park University,denied
slangelayhe,New York University,withdrawn
pchevolleau5m,University of Alabama at Birmingham,withdrawn
tserrell18,Hendrix College,pending
jsarjent6v,Texas Christian University,denied
bbute3u,Barnard College,pending
aspitaronu,North Park University,deferred
bfranchyonok1i,Massachusetts Institute of Technology,deferred
lfardellh0,Texas Christian University,deferred
cfewp4,Washington & Jefferson College,deferred
acarnowm6,Berry College,pending
lritson4f,Centre College,deferred
rraynerb9,"University of Nevada, Reno",withdrawn
imarquotfp,Merrimack College,waitlisted
jdurram61,Transylvania University,waitlisted
cbruna90,Williams College,accepted
mviney77,Rice University,pending
lblanningpd,"University of California, Santa Barbara",accepted
ahallwellp6,Transylvania University,waitlisted
bocheltree36,University of Richmond,deferred
ccolefordrn,University of San Diego,deferred
anittom9,Moravian College,deferred
tgrzelakli,Franklin & Marshall College,denied
kprickett6t,Mercer University,deferred
cjermyc0,New York University,deferred
tmecchigg,Hope College,deferred
mcawkwellmj,University of Alabama at Birmingham,pending
gfishburnjf,Campbell University,accepted
jlarkingsnf,Northwestern University,denied
acrooksfl,Northwestern University,deferred
slongwoodbg,University of Delaware,accepted
ccreminge,Franklin & Marshall College,waitlisted
isneesbyor,North Park University,waitlisted
llugton5g,John Carroll University,denied
rhamlyg9,"California State University, Fresno",denied
lantognellimb,Texas Christian University,pending
mtremlettad,Kalamazoo College,accepted
bhastygo,Gettysburg College,deferred
mgert6h,Roger Williams University,pending
akerwickjv,Colorado College,withdrawn
cjermyc0,Barnard College,denied
fbellochc3,Carnegie Mellon University,denied
dhugkmi,University of Arizona,withdrawn
ciashviliky,Massachusetts Institute of Technology,accepted
mriddalldf,William Jewell College,deferred
sspringhampz,Drake University,denied
lsearlhj,School of the Art Institute of Chicago,accepted
nelstuba,Saint Louis University,deferred
lmarchant63,Eastern Illinois University,denied
cblackborough29,Lawrence Technological University,deferred
lwaterstonefj,Stony Brook University,waitlisted
rmabbf7,Franklin & Marshall College,pending
pmedfordpf,Manhattan College,accepted
bharfoot82,Illinois College,withdrawn
bphayre2g,Illinois College,withdrawn
gralton9,San Diego State University,deferred
isneesbyor,Drake University,pending
bdargavelp9,University of Maine,accepted
jbradmoreqn,Central Connecticut State University,denied
kgildeam4,University of Arizona,accepted
hsmethurst93,Mercer University,denied
uhavikb8,Mercer University,waitlisted
jpaschokw,Manhattan College,denied
jwitterl8,Reed College,accepted
gralton9,Nova Southeastern University,pending
ksalliern9,Campbell University,pending
bfairbournbm,American University,waitlisted
gsavegehv,San Diego State University,waitlisted
blevet8j,Princeton University,withdrawn
bkintone1,The College of Wooster,pending
granklingy,The College of St Scholastica,waitlisted
rcalvieh8,Gordon College,pending
lfardellh0,Texas Tech University,accepted
adesportkm,Williams College,accepted
akleinlererrh,"University of Nevada, Reno",waitlisted
rarnor7,Mount Holyoke College,waitlisted
dmitchleyow,Massachusetts Institute of Technology,withdrawn
rclemmey46,Rochester Institute of Technology,denied
lhollowsd2,University of Arizona,waitlisted
kdovydenasqf,Merrimack College,pending
ggrissett4c,DePauw University,withdrawn
bludlow2o,American University,pending
beplategj,Missouri University of Science and Technology,denied
cwardhawn0,Reed College,waitlisted
amittoniv,American University,denied
pkeaveic,Massachusetts Institute of Technology,waitlisted
sscolefc,Illinois College,pending
dtunnacliffenc,University of San Diego,accepted
tfeltennp,Manhattan College,deferred
eplowelldd,Merrimack College,withdrawn
tkleiser6p,University of Montana,withdrawn
adingle57,"University of California, Santa Cruz",pending
sbegwellnl,Drake University,pending
bkintone1,Salve Regina University,withdrawn
bpedrielli6n,"University of Nevada, Reno",accepted
istenner1s,Utah State University,accepted
lsuttie4w,Clarkson University,denied
agoldsec,University of Illinois at Chicago,denied
gbuttlerf0,Fordham University,deferred
afranzonellopy,University of Hartford,pending
cpidgeleyq3,Missouri University of Science and Technology,deferred
naldiecr,"University of California, Santa Barbara",accepted
emaccookk0,University of Maine,deferred
tmcarthur60,Moravian College,denied
cbulleyfd,"California State University, Monterey Bay",accepted
gbenyanq6,Washington & Jefferson College,waitlisted
dhugkmi,Gettysburg College,denied
zmarchent1d,Mercer University,pending
mallchornde,Illinois College,deferred
dmechemb1,Moravian College,pending
cbrigdalegt,Massachusetts Institute of Technology,waitlisted
hmarczykek,University of Richmond,denied
slapsley2a,Kalamazoo College,deferred
sratcliffe1b,Centre College,accepted
phayzerfa,Vassar College,deferred
rpreatore5,Lawrence Technological University,withdrawn
tetherson6s,Merrimack College,accepted
kcotter2z,Temple University,accepted
rdrevermy,Lawrence Technological University,accepted
dgirkin52,John Carroll University,withdrawn
ibartholomew3s,Barnard College,denied
seaglesa8,Kennesaw State University,waitlisted
egirardey9k,University of Richmond,pending
mswanjr,Colorado College,deferred
ldracksfordlg,Berry College,deferred
isymesjq,Colgate University,denied
agoshawke0,University of Central Florida,accepted
tampsrr,Washington & Jefferson College,denied
gralton9,Siena College,deferred
dmacalindeng1,Wagner College,accepted
cwythillg2,University of Arizona,waitlisted
slapsley2a,Kalamazoo College,accepted
cdurgan2y,Stony Brook University,denied
estorer6j,Fordham University,denied
